window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
150,60,1,Knot,Model,96,2,0,13,16,0,14,29,0
150,60,1,Knot,Model,55,3,37,15,14,1,27,0,10
150,60,1,Knot,Model,109,5,0,21,37,0,40,0,0
150,60,1,Knot,Model,112,11,0,28,19,2,12,4,19
150,60,1,Knot,Model,86,0,13,11,25,2,25,10,2
150,60,1,Knot,SVM,74,0,24,11,17,1,13,1,29
150,60,1,Knot,SVM,33,21,41,5,25,0,13,14,10
150,60,1,Knot,SVM,84,2,28,14,2,42,12,8,20
150,60,1,Knot,SVM,93,30,0,28,21,0,15,4,16
150,60,1,Knot,SVM,71,0,28,0,17,21,11,12,14
150,60,1,Needle,Model,0,0,39,88,1,8,0,0,121
150,60,1,Needle,Model,144,0,0,56,0,0,52,0,0
150,60,1,Needle,Model,71,2,44,35,1,55,27,15,61
150,60,1,Needle,Model,47,11,80,0,44,17,2,0,88
150,60,1,Needle,Model,76,0,16,18,0,18,22,3,55
150,60,1,Needle,SVM,16,20,3,50,47,0,27,53,41
150,60,1,Needle,SVM,10,103,31,23,0,33,51,0,1
150,60,1,Needle,SVM,17,56,44,34,2,55,31,23,49
150,60,1,Needle,SVM,51,26,61,21,31,9,59,0,31
150,60,1,Needle,SVM,91,1,0,36,0,0,73,3,4
150,60,1,Suture,Model,309,38,41,51,23,22,39,2,60
150,60,1,Suture,Model,180,2,0,62,29,0,81,0,0
150,60,1,Suture,Model,260,0,2,87,0,0,49,27,0
150,60,1,Suture,Model,168,37,15,70,0,8,57,1,31
150,60,1,Suture,Model,124,1,73,31,38,4,29,0,38
150,60,1,Suture,SVM,298,43,47,51,23,22,34,0,67
150,60,1,Suture,SVM,88,65,29,25,9,57,30,7,44
150,60,1,Suture,SVM,151,26,85,87,0,0,28,42,6
150,60,1,Suture,SVM,90,67,63,60,13,5,37,22,30
150,60,1,Suture,SVM,40,50,108,0,72,1,0,39,28
150,60,2,Knot,Model,87,0,11,22,3,4,14,6,23
150,60,2,Knot,Model,79,12,4,23,7,0,37,0,0
150,60,2,Knot,Model,106,8,0,16,42,0,33,7,0
150,60,2,Knot,Model,123,0,0,28,0,21,13,0,22
150,60,2,Knot,Model,94,0,5,2,36,0,23,14,0
150,60,2,Knot,SVM,61,0,37,9,9,11,3,9,31
150,60,2,Knot,SVM,3,47,45,5,16,9,3,9,25
150,60,2,Knot,SVM,91,3,20,14,20,24,24,4,12
150,60,2,Knot,SVM,123,0,0,28,3,18,13,3,19
150,60,2,Knot,SVM,52,0,47,23,5,10,21,3,13
150,60,2,Needle,Model,0,0,39,53,0,44,9,0,112
150,60,2,Needle,Model,115,10,19,1,0,55,49,0,3
150,60,2,Needle,Model,43,30,44,36,0,55,0,0,103
150,60,2,Needle,Model,8,39,91,0,52,9,0,0,90
150,60,2,Needle,Model,75,17,0,8,28,0,30,23,27
150,60,2,Needle,SVM,11,28,0,93,4,0,30,46,45
150,60,2,Needle,SVM,21,95,28,1,0,55,52,0,0
150,60,2,Needle,SVM,14,76,27,38,10,43,32,13,58
150,60,2,Needle,SVM,45,30,63,5,54,2,89,0,1
150,60,2,Needle,SVM,92,0,0,36,0,0,72,0,8
150,60,2,Suture,Model,345,19,24,51,16,29,36,0,65
150,60,2,Suture,Model,182,0,0,76,0,15,68,0,13
150,60,2,Suture,Model,262,0,0,87,0,0,76,0,0
150,60,2,Suture,Model,220,0,0,78,0,0,89,0,0
150,60,2,Suture,Model,119,50,29,19,54,0,27,26,14
150,60,2,Suture,SVM,270,110,8,50,23,23,35,32,34
150,60,2,Suture,SVM,90,68,24,27,0,64,29,9,43
150,60,2,Suture,SVM,129,72,61,74,7,6,50,19,7
150,60,2,Suture,SVM,80,75,65,9,27,42,49,38,2
150,60,2,Suture,SVM,52,86,60,1,67,5,0,33,34
150,60,3,Knot,Model,78,0,20,14,15,0,14,6,23
150,60,3,Knot,Model,90,5,0,23,7,0,35,2,0
150,60,3,Knot,Model,113,1,0,17,41,0,40,0,0
150,60,3,Knot,Model,123,0,0,39,10,0,35,0,0
150,60,3,Knot,Model,61,18,20,0,34,4,23,5,9
150,60,3,Knot,SVM,61,0,37,9,0,20,7,2,34
150,60,3,Knot,SVM,29,6,60,6,4,20,7,1,29
150,60,3,Knot,SVM,66,22,26,16,11,31,26,4,10
150,60,3,Knot,SVM,89,34,0,34,12,3,25,1,9
150,60,3,Knot,SVM,56,0,43,19,3,16,13,2,22
150,60,3,Needle,Model,0,2,37,29,67,1,0,12,109
150,60,3,Needle,Model,115,0,29,0,0,56,0,0,52
150,60,3,Needle,Model,61,12,44,37,0,54,21,15,67
150,60,3,Needle,Model,55,0,83,26,0,35,0,0,90
150,60,3,Needle,Model,79,13,0,20,16,0,35,4,41
150,60,3,Needle,SVM,11,25,3,94,3,0,67,9,45
150,60,3,Needle,SVM,31,90,23,0,0,56,16,0,36
150,60,3,Needle,SVM,8,67,42,35,1,55,30,11,62
150,60,3,Needle,SVM,64,35,39,26,32,3,56,8,26
150,60,3,Needle,SVM,83,9,0,36,0,0,75,0,5
150,60,3,Suture,Model,331,2,55,52,23,21,35,0,66
150,60,3,Suture,Model,179,3,0,61,0,30,60,0,21
150,60,3,Suture,Model,262,0,0,87,0,0,76,0,0
150,60,3,Suture,Model,135,74,11,12,65,1,89,0,0
150,60,3,Suture,Model,198,0,0,16,57,0,61,6,0
150,60,3,Suture,SVM,245,89,54,52,29,15,37,0,64
150,60,3,Suture,SVM,144,37,1,21,9,61,35,4,42
150,60,3,Suture,SVM,151,46,65,83,4,0,33,28,15
