window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
180,30,1,Knot,Model,191,0,0,50,6,0,83,0,0
180,30,1,Knot,Model,186,0,0,57,0,0,71,0,0
180,30,1,Knot,Model,223,0,0,112,0,0,65,0,12
180,30,1,Knot,Model,233,9,0,46,49,0,42,26,0
180,30,1,Knot,Model,193,0,0,59,13,0,66,5,0
180,30,1,Knot,SVM,191,0,0,56,0,0,70,13,0
180,30,1,Knot,SVM,111,62,13,25,32,0,26,38,7
180,30,1,Knot,SVM,223,0,0,112,0,0,64,0,13
180,30,1,Knot,SVM,236,4,2,46,47,2,47,17,4
180,30,1,Knot,SVM,189,4,0,21,47,4,59,11,1
180,30,1,Needle,Model,77,0,0,190,0,0,238,0,0
180,30,1,Needle,Model,283,0,0,110,0,0,103,0,0
180,30,1,Needle,Model,231,0,0,76,0,102,203,0,0
180,30,1,Needle,Model,271,0,0,118,0,0,176,0,0
180,30,1,Needle,Model,181,0,0,71,0,0,157,0,1
180,30,1,Needle,SVM,77,0,0,190,0,0,238,0,0
180,30,1,Needle,SVM,0,0,283,0,0,110,0,0,103
180,30,1,Needle,SVM,231,0,0,178,0,0,203,0,0
180,30,1,Needle,SVM,271,0,0,118,0,0,176,0,0
180,30,1,Needle,SVM,119,0,62,71,0,0,157,0,1
180,30,1,Suture,Model,769,0,0,188,0,0,198,0,0
180,30,1,Suture,Model,359,0,0,178,0,0,159,0,0
180,30,1,Suture,Model,518,0,0,170,0,0,150,0,0
180,30,1,Suture,Model,434,0,0,152,0,0,174,0,0
180,30,1,Suture,Model,389,0,0,142,0,0,131,0,0
180,30,1,Suture,SVM,765,1,3,188,0,0,198,0,0
180,30,1,Suture,SVM,359,0,0,178,0,0,159,0,0
180,30,1,Suture,SVM,518,0,0,170,0,0,150,0,0
180,30,1,Suture,SVM,434,0,0,152,0,0,174,0,0
180,30,1,Suture,SVM,389,0,0,142,0,0,131,0,0
180,30,2,Knot,Model,184,7,0,27,29,0,53,30,0
180,30,2,Knot,Model,186,0,0,54,2,1,71,0,0
180,30,2,Knot,Model,223,0,0,112,0,0,77,0,0
180,30,2,Knot,Model,242,0,0,94,1,0,68,0,0
180,30,2,Knot,Model,193,0,0,72,0,0,71,0,0
180,30,2,Knot,SVM,180,11,0,25,31,0,46,37,0
180,30,2,Knot,SVM,183,2,1,53,1,3,71,0,0
180,30,2,Knot,SVM,223,0,0,112,0,0,77,0,0
180,30,2,Knot,SVM,242,0,0,94,0,1,68,0,0
180,30,2,Knot,SVM,193,0,0,72,0,0,71,0,0
180,30,2,Needle,Model,77,0,0,190,0,0,238,0,0
180,30,2,Needle,Model,283,0,0,110,0,0,102,1,0
180,30,2,Needle,Model,231,0,0,178,0,0,203,0,0
180,30,2,Needle,Model,271,0,0,118,0,0,154,0,22
180,30,2,Needle,Model,181,0,0,71,0,0,150,8,0
180,30,2,Needle,SVM,77,0,0,177,13,0,238,0,0
180,30,2,Needle,SVM,283,0,0,110,0,0,103,0,0
180,30,2,Needle,SVM,231,0,0,178,0,0,203,0,0
180,30,2,Needle,SVM,271,0,0,118,0,0,176,0,0
180,30,2,Needle,SVM,160,21,0,71,0,0,143,15,0
180,30,2,Suture,Model,769,0,0,188,0,0,198,0,0
180,30,2,Suture,Model,359,0,0,178,0,0,159,0,0
180,30,2,Suture,Model,518,0,0,170,0,0,150,0,0
180,30,2,Suture,Model,434,0,0,152,0,0,174,0,0
180,30,2,Suture,Model,389,0,0,142,0,0,131,0,0
180,30,2,Suture,SVM,769,0,0,188,0,0,198,0,0
180,30,2,Suture,SVM,359,0,0,178,0,0,159,0,0
180,30,2,Suture,SVM,518,0,0,170,0,0,150,0,0
180,30,2,Suture,SVM,365,0,69,148,2,2,172,0,2
180,30,2,Suture,SVM,389,0,0,142,0,0,131,0,0
180,30,3,Knot,Model,191,0,0,56,0,0,83,0,0
180,30,3,Knot,Model,186,0,0,57,0,0,71,0,0
180,30,3,Knot,Model,223,0,0,112,0,0,77,0,0
180,30,3,Knot,Model,242,0,0,95,0,0,68,0,0
180,30,3,Knot,Model,192,1,0,52,20,0,71,0,0
180,30,3,Knot,SVM,190,0,1,56,0,0,83,0,0
180,30,3,Knot,SVM,96,1,89,43,1,13,60,0,11
180,30,3,Knot,SVM,181,42,0,93,16,3,56,18,3
180,30,3,Knot,SVM,242,0,0,95,0,0,68,0,0
180,30,3,Knot,SVM,192,1,0,46,26,0,71,0,0
180,30,3,Needle,Model,77,0,0,190,0,0,238,0,0
180,30,3,Needle,Model,283,0,0,110,0,0,103,0,0
180,30,3,Needle,Model,231,0,0,173,5,0,203,0,0
180,30,3,Needle,Model,271,0,0,118,0,0,176,0,0
180,30,3,Needle,Model,181,0,0,71,0,0,154,0,4
180,30,3,Needle,SVM,54,0,23,169,0,21,87,0,151
180,30,3,Needle,SVM,274,0,9,110,0,0,103,0,0
180,30,3,Needle,SVM,231,0,0,172,6,0,203,0,0
180,30,3,Needle,SVM,170,0,101,116,0,2,146,0,30
180,30,3,Needle,SVM,181,0,0,71,0,0,158,0,0
180,30,3,Suture,Model,769,0,0,188,0,0,198,0,0
