window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
150,60,1,Knot,Model,69,5,24,3,21,5,3,4,36
150,60,1,Knot,Model,28,55,12,1,25,4,3,8,26
150,60,1,Knot,Model,109,0,5,16,42,0,40,0,0
150,60,1,Knot,Model,122,1,0,30,0,19,13,0,22
150,60,1,Knot,Model,90,0,9,30,0,8,0,0,37
150,60,1,Knot,SVM,64,0,34,11,4,14,3,1,39
150,60,1,Knot,SVM,41,17,37,9,13,8,10,4,23
150,60,1,Knot,SVM,73,0,41,6,6,46,18,0,22
150,60,1,Knot,SVM,121,2,0,28,16,5,13,1,21
150,60,1,Knot,SVM,79,2,18,21,9,8,0,2,35
150,60,1,Needle,Model,26,13,0,28,63,6,60,16,45
150,60,1,Needle,Model,107,37,0,37,19,0,52,0,0
150,60,1,Needle,Model,64,20,33,36,0,55,0,0,103
150,60,1,Needle,Model,0,47,91,0,51,10,0,0,90
150,60,1,Needle,Model,53,37,2,5,24,7,33,0,47
150,60,1,Needle,SVM,26,13,0,48,2,47,63,12,46
150,60,1,Needle,SVM,51,21,72,14,2,40,51,1,0
150,60,1,Needle,SVM,68,35,14,36,0,55,52,0,51
150,60,1,Needle,SVM,53,23,62,18,34,9,61,3,26
150,60,1,Needle,SVM,59,33,0,36,0,0,71,0,9
150,60,1,Suture,Model,361,27,0,68,28,0,55,46,0
150,60,1,Suture,Model,168,0,14,72,0,19,33,0,48
150,60,1,Suture,Model,226,0,36,87,0,0,76,0,0
150,60,1,Suture,Model,220,0,0,69,0,9,85,4,0
150,60,1,Suture,Model,153,45,0,30,43,0,58,9,0
150,60,1,Suture,SVM,249,1,138,41,23,32,42,33,26
150,60,1,Suture,SVM,126,28,28,43,0,48,27,6,48
150,60,1,Suture,SVM,158,75,29,74,8,5,61,11,4
150,60,1,Suture,SVM,108,42,70,18,5,55,45,41,3
150,60,1,Suture,SVM,98,40,60,1,58,14,18,27,22
150,60,2,Knot,Model,71,1,26,13,4,12,1,2,40
150,60,2,Knot,Model,35,7,53,14,14,2,10,0,27
150,60,2,Knot,Model,90,24,0,3,55,0,30,9,1
150,60,2,Knot,Model,116,0,7,33,5,11,26,0,9
150,60,2,Knot,Model,88,0,11,28,3,7,17,0,20
150,60,2,Knot,SVM,58,1,39,8,4,17,4,1,38
150,60,2,Knot,SVM,20,18,57,4,23,3,19,0,18
150,60,2,Knot,SVM,94,9,11,13,23,22,29,1,10
150,60,2,Knot,SVM,118,0,5,28,21,0,24,2,9
150,60,2,Knot,SVM,70,0,29,26,4,8,13,0,24
150,60,2,Needle,Model,0,0,39,28,29,40,0,0,121
150,60,2,Needle,Model,122,22,0,56,0,0,52,0,0
150,60,2,Needle,Model,0,85,32,0,91,0,0,24,79
150,60,2,Needle,Model,22,26,90,21,5,35,0,0,90
150,60,2,Needle,Model,53,34,5,2,24,10,2,27,51
150,60,2,Needle,SVM,16,19,4,29,68,0,32,44,45
150,60,2,Needle,SVM,65,60,19,0,0,56,52,0,0
150,60,2,Needle,SVM,22,83,12,61,29,1,36,37,30
150,60,2,Needle,SVM,30,73,35,20,31,10,90,0,0
150,60,2,Needle,SVM,60,32,0,35,1,0,72,2,6
150,60,2,Suture,Model,372,5,11,54,25,17,61,0,40
150,60,2,Suture,Model,182,0,0,91,0,0,81,0,0
150,60,2,Suture,Model,224,0,38,84,0,3,57,19,0
150,60,2,Suture,Model,143,28,49,72,3,3,16,30,43
150,60,2,Suture,Model,124,61,13,5,68,0,33,8,26
150,60,2,Suture,SVM,329,53,6,25,24,47,25,12,64
150,60,2,Suture,SVM,60,63,59,36,0,55,46,3,32
150,60,2,Suture,SVM,145,55,62,69,0,18,43,33,0
150,60,2,Suture,SVM,94,19,107,52,22,4,24,25,40
150,60,2,Suture,SVM,63,69,66,1,72,0,11,16,40
150,60,3,Knot,Model,96,2,0,10,19,0,18,4,21
150,60,3,Knot,Model,60,10,25,22,6,2,19,0,18
150,60,3,Knot,Model,114,0,0,16,37,5,26,0,14
150,60,3,Knot,Model,123,0,0,28,21,0,23,9,3
150,60,3,Knot,Model,98,1,0,38,0,0,34,3,0
150,60,3,Knot,SVM,61,0,37,8,7,14,7,1,35
150,60,3,Knot,SVM,6,30,59,15,6,9,16,0,21
150,60,3,Knot,SVM,89,0,25,10,14,34,26,0,14
150,60,3,Knot,SVM,123,0,0,29,11,9,23,0,12
150,60,3,Knot,SVM,26,2,71,22,5,11,8,5,24
150,60,3,Needle,Model,39,0,0,96,1,0,75,0,46
150,60,3,Needle,Model,82,41,21,0,0,56,11,0,41
150,60,3,Needle,Model,8,88,21,36,40,15,0,22,81
150,60,3,Needle,Model,32,19,87,26,32,3,1,0,89
150,60,3,Needle,Model,82,4,6,36,0,0,31,0,49
150,60,3,Needle,SVM,1,24,14,91,5,1,63,14,44
150,60,3,Needle,SVM,20,96,28,15,0,41,52,0,0
150,60,3,Needle,SVM,0,76,41,36,0,55,27,10,66
150,60,3,Needle,SVM,18,75,45,17,40,4,64,0,26
150,60,3,Needle,SVM,61,25,6,36,0,0,32,1,47
150,60,3,Suture,Model,319,54,15,51,24,21,35,0,66
150,60,3,Suture,Model,167,0,15,15,0,76,28,0,53
150,60,3,Suture,Model,224,38,0,59,0,28,38,28,10
150,60,3,Suture,Model,140,65,15,48,22,8,28,26,35
150,60,3,Suture,Model,198,0,0,73,0,0,67,0,0
150,60,3,Suture,SVM,299,89,0,53,30,13,35,17,49
150,60,3,Suture,SVM,138,44,0,32,0,59,53,20,8
150,60,3,Suture,SVM,231,20,11,42,0,45,20,45,11
150,60,3,Suture,SVM,92,72,56,42,30,6,36,29,24
150,60,3,Suture,SVM,48,65,85,0,68,5,28,24,15
150,60,4,Knot,Model,98,0,0,23,2,4,10,6,27
150,60,4,Knot,Model,31,26,38,5,21,4,11,3,23
150,60,4,Knot,Model,103,0,11,10,37,11,11,0,29
150,60,4,Knot,Model,115,8,0,30,19,0,18,5,12
