window_size,step_size,run,skill,type,Novice_True_Positive,Interm_insteadOf_Novice,Expert_insteadOf_Novice,Novice_insteadOf_Interm,Interm_True_Positive,Expert_insteadOf_Interm,Novice_insteadOf_Expert,Interm_insteadOf_Expert,Expert_True_Positive
120,60,1,Knot,SVM,66,14,19,17,1,13,15,3,26
120,60,1,Knot,SVM,48,38,11,18,6,7,33,2,3
120,60,1,Knot,SVM,87,4,26,27,27,4,24,9,8
120,60,1,Knot,SVM,111,13,1,45,4,1,27,7,3
120,60,1,Knot,SVM,40,0,60,23,7,8,22,9,7
120,60,1,Needle,SVM,0,0,40,48,2,47,6,44,71
120,60,1,Needle,SVM,90,41,14,55,0,1,3,0,50
120,60,1,Needle,SVM,47,36,35,50,41,0,62,20,22
120,60,1,Needle,SVM,100,32,7,18,39,4,22,1,67
120,60,1,Needle,SVM,58,30,5,37,0,0,39,34,9
120,60,1,Suture,SVM,293,85,11,54,22,20,67,2,32
120,60,1,Suture,SVM,83,22,78,36,3,52,43,21,18
120,60,1,Suture,SVM,207,20,37,18,0,69,37,30,11
120,60,1,Suture,SVM,90,10,122,19,10,49,25,23,41
120,60,1,Suture,SVM,108,81,10,19,27,27,40,16,12
120,60,2,Knot,SVM,57,12,30,10,6,15,11,21,12
120,60,2,Knot,SVM,47,34,16,9,13,9,20,9,9
120,60,2,Knot,SVM,90,6,21,44,14,0,17,9,15
120,60,2,Knot,SVM,78,38,9,24,23,3,20,10,7
120,60,2,Knot,SVM,85,9,6,32,5,1,17,13,8
120,60,2,Needle,SVM,9,0,31,20,77,0,22,67,32
120,60,2,Needle,SVM,57,82,6,1,55,0,16,0,37
120,60,2,Needle,SVM,107,8,3,83,0,8,28,76,0
120,60,2,Needle,SVM,52,50,37,33,25,3,10,12,68
120,60,2,Needle,SVM,75,4,14,36,0,1,67,3,12
120,60,2,Suture,SVM,319,25,45,44,24,28,37,29,35
120,60,2,Suture,SVM,145,10,28,13,8,70,61,17,4
120,60,2,Suture,SVM,232,28,4,48,12,27,46,14,18
120,60,2,Suture,SVM,112,8,102,28,3,47,58,18,13
120,60,2,Suture,SVM,44,102,53,43,21,9,21,34,13
120,60,3,Knot,SVM,59,21,19,11,8,12,11,21,12
120,60,3,Knot,SVM,66,18,13,10,2,19,21,3,14
120,60,3,Knot,SVM,72,19,26,58,0,0,32,5,4
120,60,3,Knot,SVM,103,13,9,43,7,0,19,15,3
120,60,3,Knot,SVM,99,0,1,19,16,3,11,17,10
120,60,3,Needle,SVM,1,0,39,32,36,29,71,1,49
120,60,3,Needle,SVM,41,78,26,30,0,26,53,0,0
120,60,3,Needle,SVM,5,69,44,89,2,0,48,1,55
120,60,3,Needle,SVM,72,39,28,34,1,26,5,31,54
120,60,3,Needle,SVM,47,27,19,25,10,2,45,7,30
120,60,3,Suture,SVM,140,39,210,50,32,14,54,37,10
120,60,3,Suture,SVM,76,40,67,49,6,36,55,18,9
120,60,3,Suture,SVM,189,49,26,53,10,24,31,35,12
120,60,3,Suture,SVM,124,3,95,44,13,21,30,17,42
120,60,3,Suture,SVM,114,28,57,31,27,15,21,25,22
120,60,4,Knot,SVM,48,22,29,14,3,14,15,15,14
120,60,4,Knot,SVM,66,31,0,17,1,13,27,4,7
120,60,4,Knot,SVM,105,0,12,51,0,7,17,1,23
120,60,4,Knot,SVM,123,2,0,15,20,15,13,3,21
120,60,4,Knot,SVM,49,0,51,24,12,2,10,11,17
120,60,4,Needle,SVM,0,0,40,30,3,64,4,61,56
120,60,4,Needle,SVM,104,10,31,2,4,50,24,29,0
120,60,4,Needle,SVM,18,75,25,51,0,40,43,9,52
120,60,4,Needle,SVM,64,28,47,19,7,35,4,7,79
120,60,4,Needle,SVM,66,27,0,20,15,2,56,15,11
120,60,4,Suture,SVM,339,16,34,69,14,13,55,25,21
120,60,4,Suture,SVM,131,36,16,68,11,12,65,10,7
120,60,4,Suture,SVM,203,11,50,46,11,30,38,29,11
120,60,4,Suture,SVM,103,8,111,54,16,8,31,14,44
120,60,4,Suture,SVM,130,54,15,8,38,27,53,13,2
120,60,5,Knot,SVM,37,15,47,13,5,13,7,18,19
120,60,5,Knot,SVM,89,0,8,4,5,22,23,3,12
120,60,5,Knot,SVM,98,1,18,32,0,26,23,4,14
120,60,5,Knot,SVM,85,39,1,32,16,2,19,6,12
120,60,5,Knot,SVM,42,46,12,33,4,1,20,11,7
120,60,5,Needle,SVM,10,21,9,30,0,67,40,48,33
120,60,5,Needle,SVM,80,51,14,10,44,2,51,0,2
120,60,5,Needle,SVM,27,84,7,9,29,53,46,27,31
120,60,5,Needle,SVM,112,9,18,26,1,34,34,5,51
120,60,5,Needle,SVM,61,8,24,18,0,19,46,20,16
120,60,5,Suture,SVM,131,176,82,58,25,13,31,33,37
120,60,5,Suture,SVM,111,19,53,31,12,48,45,11,26
120,60,5,Suture,SVM,205,19,40,42,15,30,11,46,21
120,60,5,Suture,SVM,117,16,89,46,25,7,44,29,16
120,60,5,Suture,SVM,148,34,17,26,22,25,24,19,25
