method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.6344086,0.48850575,0.6016684,0.48442534,0.5369697,0.5366569,0.36206895,0.57664233,0.46079484,0.40969697,0.5491956,0.469172
ResNet,Suture,1,0.60292685,0.42930263,0.4776971,0.5562361,0.5108992,0.4521951,0.34484965,0.42790458,0.45545658,0.42574933,0.5154124,0.42123103
ResNet,Knot,2,0.6060606,0.45833334,0.50156415,0.4038668,0.4678788,0.5669599,0.4770115,0.4160584,0.32867885,0.31636363,0.48754072,0.42101446
ResNet,Suture,2,0.56536585,0.40882918,0.5171162,0.5217149,0.53065395,0.43121952,0.321817,0.47406638,0.36525613,0.39850137,0.508736,0.39817208
ResNet,Knot,3,0.540567,0.45689654,0.48175183,0.49194413,0.4848485,0.43695015,0.34770116,0.47236705,0.4414608,0.36242425,0.49120158,0.41218066
ResNet,Suture,3,0.5834146,0.46193218,0.46887967,0.5384187,0.44959128,0.4717073,0.29494563,0.40612033,0.48886415,0.3174387,0.5004473,0.39581522
ResNet,Knot,4,0.61974585,0.40373564,0.49426487,0.5134264,0.4618182,0.5796676,0.37643677,0.42127216,0.4414608,0.43636364,0.4985982,0.4510402
ResNet,Suture,4,0.5731707,0.43506077,0.5280083,0.591314,0.51703,0.5590244,0.3634037,0.48080912,0.46380848,0.35422343,0.5289168,0.44425383
ResNet,Suture,5,0.5965854,0.39859244,0.49533194,0.5066815,0.5619891,0.58585364,0.33525273,0.3900415,0.4532294,0.47820163,0.51183605,0.44851577
CNN,Knot,1,0.7236467,0.42089552,0.7201835,0.69014084,0.6386555,0.6296296,0.35820895,0.5344037,0.6690141,0.7955182,0.6387044,0.5973549
CNN,Needle,1,0.51153845,0.5518591,0.35714287,0.42662117,0.65411764,0.52307695,0.08806262,0.24761905,0.25597268,0.45411766,0.5002558,0.3137698
CNN,Suture,1,0.7039864,0.52859133,0.5046404,0.58928573,0.67784256,0.2663274,0.40027893,0.43967518,0.29209185,0.43586007,0.6008693,0.36684668
CNN,Knot,2,0.6951567,0.62985075,0.70183486,0.64084506,0.5154062,0.6951567,0.59402984,0.5733945,0.6056338,0.4117647,0.63661873,0.5759959
CNN,Needle,2,0.6826923,0.481409,0.4015873,0.49317408,0.48941177,0.24423076,0.072407044,0.14285715,0.3771331,0.48,0.5096549,0.2633256
CNN,Suture,2,0.663274,0.58856344,0.52552205,0.6058673,0.65889215,0.6615776,0.40306833,0.3723898,0.39285713,0.6472303,0.60842377,0.49542463
CNN,Knot,3,0.6837607,0.55820894,0.7454128,0.6760563,0.627451,0.6096866,0.46567163,0.55733943,0.685446,0.5322129,0.658178,0.57007134
CNN,Needle,3,0.46923077,0.48336595,0.44444445,0.37542662,0.70117646,0.17115384,0.08219178,0.1,0.44027305,0.48941177,0.49472886,0.25660607
CNN,Suture,3,0.7379135,0.5760112,0.5951276,0.5229592,0.5728863,0.5860899,0.53556484,0.37703016,0.19770408,0.4373178,0.60097957,0.42674136
CNN,Knot,4,0.7321937,0.44179106,0.6857798,0.68779343,0.6302521,0.66096866,0.32537314,0.5711009,0.6596244,0.4789916,0.635562,0.53921175
CNN,Needle,4,0.6826923,0.5714286,0.5650794,0.51194537,0.68941176,0.425,0.078277886,0.2730159,0.3020478,0.46588236,0.6041115,0.30884477
CNN,Suture,4,0.6658185,0.52580196,0.52204174,0.45408162,0.590379,0.49024597,0.47001395,0.35266823,0.33290815,0.45335278,0.5516246,0.4198378
CNN,Knot,5,0.7122507,0.49253732,0.690367,0.6596244,0.6862745,0.61538464,0.40597016,0.44266054,0.68075114,0.49859944,0.64821076,0.5286732
CNN,Needle,5,0.37692308,0.5440313,0.5063492,0.44709897,0.6211765,0.34615386,0.0332681,0.24920635,0.41808873,0.44941175,0.4991158,0.29922575
CNN,Suture,5,0.6293469,0.60948396,0.6044083,0.49234694,0.50728863,0.53435117,0.57182705,0.3700696,0.45408162,0.3090379,0.56857497,0.44787347
LSTM,Knot,1,0.6951567,0.55820894,0.690367,0.6666667,0.6386555,0.7122507,0.4119403,0.6582569,0.6079812,0.6106443,0.64981097,0.60021466
LSTM,Needle,1,0.47692308,0.46183953,0.53809524,0.4556314,0.6682353,0.36153847,0.29745597,0.22857143,0.35153583,0.36,0.5201449,0.31982034
LSTM,Suture,1,0.6785411,0.56485355,0.6148492,0.625,0.53061223,0.6819338,0.47698745,0.387471,0.39285713,0.46355686,0.6027712,0.48056126
LSTM,Knot,2,0.7037037,0.58208954,0.6972477,0.7276995,0.7086835,0.68945867,0.42686567,0.6444954,0.7276995,0.41456583,0.6838848,0.580617
LSTM,Needle,2,0.74615383,0.51272017,0.3873016,0.5580205,0.6752941,0.40576923,0.4187867,0.25238097,0.5870307,0.39058822,0.57589805,0.41091117
LSTM,Suture,2,0.70737916,0.57182705,0.6148492,0.6441327,0.6078717,0.5971162,0.49790794,0.4187935,0.5395408,0.37317786,0.62921196,0.48530728
LSTM,Knot,3,0.6980057,0.6119403,0.7408257,0.7065728,0.5686275,0.54415953,0.3552239,0.6215596,0.7300469,0.50700283,0.6651944,0.55159855
LSTM,Needle,3,0.52692306,0.5146771,0.5650794,0.4010239,0.6564706,0.036538463,0.52446187,0.44285715,0.33105803,0.5294118,0.5328348,0.37286544
LSTM,Suture,3,0.7014419,0.51324964,0.5916473,0.57015306,0.6137026,0.71755725,0.46025103,0.36426914,0.37755102,0.4212828,0.5980389,0.46818227
LSTM,Knot,4,0.7207977,0.5880597,0.6834862,0.65023476,0.557423,0.6096866,0.28955224,0.6857798,0.52112675,0.45658264,0.6400003,0.5125456
LSTM,Needle,4,0.63269234,0.51663405,0.4936508,0.4675768,0.66588235,0.625,0.19373778,0.20476191,0.3771331,0.43529412,0.55528724,0.36718538
LSTM,Suture,4,0.6692112,0.637378,0.6136891,0.64158165,0.4941691,0.69211197,0.53277546,0.39211136,0.54464287,0.41836736,0.6112058,0.5160018
LSTM,Knot,5,0.7207977,0.49253732,0.66972476,0.73239434,0.6526611,0.7122507,0.49552238,0.46559632,0.74647886,0.557423,0.65362304,0.5954543
LSTM,Needle,5,0.47115386,0.49510762,0.5650794,0.46928328,0.7152941,0.2769231,0.27592954,0.2809524,0.40614334,0.68470585,0.5431836,0.38493085
LSTM,Suture,5,0.67430025,0.6290098,0.6148492,0.5688776,0.6166181,0.41815096,0.40167364,0.35266823,0.59438777,0.54227406,0.620731,0.4618309
DFT,Knot,3,0.5024438,0.5881126,0.51151514,0.41379312,0.46831363,0.41379312,0.46831363,0.5024438,0.5881126,0.51151514,0.0,0.49683565
DFT,Needle,3,0.48335248,0.5097002,0.4733096,0.50117373,0.39794967,0.50117373,0.39794967,0.48335248,0.5097002,0.4733096,0.0,0.47309712
DFT,Suture,3,0.43756098,0.6187759,0.51771116,0.46449137,0.43207127,0.46385157,0.43151447,0.43756098,0.6187759,0.51771116,0.0,0.49412215
DCT,Knot,3,0.0,0.0,0.0,0.0,0.0,0.5709779,0.44554454,0.3573201,0.48825064,0.60559005,0.0,0.49353665
DCT,Needle,3,0.0,0.0,0.0,0.0,0.0,0.308094,0.4874372,0.3468208,0.392233,0.55840456,0.0,0.4185979
DCT,Suture,3,0.0,0.0,0.0,0.0,0.0,0.48141265,0.4622951,0.39657444,0.5846373,0.27363184,0.0,0.43971026
DCT,Knot,4,0.0,0.0,0.0,0.0,0.0,0.5709779,0.44554454,0.3573201,0.48825064,0.60559005,0.0,0.49353665
DCT,Needle,4,0.0,0.0,0.0,0.0,0.0,0.308094,0.4874372,0.3468208,0.392233,0.55840456,0.0,0.4185979
DCT,Suture,4,0.0,0.0,0.0,0.0,0.0,0.48141265,0.4622951,0.39657444,0.5846373,0.27363184,0.0,0.43971026
