window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,1,Knot,Model,181,35,52,16
120,30,1,Knot,Model,192,75,0,0
120,30,1,Knot,Model,224,57,24,7
120,30,1,Knot,Model,229,14,58,19
120,30,1,Knot,Model,186,60,15,13
120,30,1,Knot,SVM,128,13,74,69
120,30,1,Knot,SVM,77,38,37,115
120,30,1,Knot,SVM,198,51,30,33
120,30,1,Knot,SVM,236,38,34,12
120,30,1,Knot,SVM,107,36,39,92
120,60,1,Knot,Model,97,15,29,2
120,60,1,Knot,Model,90,24,14,7
120,60,1,Knot,Model,117,41,0,0
120,60,1,Knot,Model,119,11,26,6
120,60,1,Knot,Model,100,37,1,0
120,60,1,Knot,SVM,84,9,35,15
120,60,1,Knot,SVM,35,11,27,62
120,60,1,Knot,SVM,106,41,0,11
120,60,1,Knot,SVM,124,14,23,1
120,60,1,Knot,SVM,75,13,25,25
150,30,1,Knot,Model,192,39,46,2
150,30,1,Knot,Model,189,73,0,0
150,30,1,Knot,Model,227,79,0,0
150,30,1,Knot,Model,245,31,39,0
150,30,1,Knot,Model,196,73,0,0
150,30,1,Knot,SVM,137,20,65,57
150,30,1,Knot,SVM,159,43,30,30
150,30,1,Knot,SVM,138,52,27,89
150,30,1,Knot,SVM,245,25,45,0
150,30,1,Knot,SVM,163,67,6,33
150,60,1,Knot,Model,98,17,26,0
150,60,1,Knot,Model,95,37,0,0
150,60,1,Knot,Model,100,14,26,14
150,60,1,Knot,Model,116,17,18,7
150,60,1,Knot,Model,99,35,2,0
150,60,1,Knot,SVM,81,6,37,17
150,60,1,Knot,SVM,42,21,16,53
150,60,1,Knot,SVM,99,25,15,15
150,60,1,Knot,SVM,121,20,15,2
150,60,1,Knot,SVM,91,29,8,8
180,30,1,Knot,Model,187,39,44,4
180,30,1,Knot,Model,186,71,0,0
180,30,1,Knot,Model,223,77,0,0
180,30,1,Knot,Model,242,23,45,0
180,30,1,Knot,Model,185,54,17,8
180,30,1,Knot,SVM,135,7,76,56
180,30,1,Knot,SVM,80,31,40,106
180,30,1,Knot,SVM,223,73,4,0
180,30,1,Knot,SVM,242,21,47,0
180,30,1,Knot,SVM,133,7,64,60
180,60,1,Knot,Model,95,23,19,1
180,60,1,Knot,Model,93,22,14,1
180,60,1,Knot,Model,113,36,3,0
180,60,1,Knot,Model,122,19,16,0
180,60,1,Knot,Model,97,20,16,0
180,60,1,Knot,SVM,74,15,27,22
180,60,1,Knot,SVM,34,14,22,60
180,60,1,Knot,SVM,91,32,7,22
180,60,1,Knot,SVM,122,16,19,0
180,60,1,Knot,SVM,68,13,23,29
90,30,1,Knot,Model,200,53,36,0
90,30,1,Knot,Model,150,63,14,45
90,30,1,Knot,Model,234,63,20,1
90,30,1,Knot,Model,247,21,53,4
90,30,1,Knot,Model,202,77,0,0
90,30,1,Knot,SVM,123,22,67,77
90,30,1,Knot,SVM,75,38,39,120
90,30,1,Knot,SVM,163,48,35,72
90,30,1,Knot,SVM,251,56,18,0
90,30,1,Knot,SVM,124,66,11,78
90,60,1,Knot,Model,100,24,21,1
90,60,1,Knot,Model,98,39,0,0
90,60,1,Knot,Model,118,42,0,0
90,60,1,Knot,Model,125,12,25,1
90,60,1,Knot,Model,101,39,0,1
90,60,1,Knot,SVM,76,20,25,25
90,60,1,Knot,SVM,52,33,6,46
90,60,1,Knot,SVM,109,36,6,9
90,60,1,Knot,SVM,125,14,23,1
90,60,1,Knot,SVM,64,27,12,38
120,30,1,Needle,Model,45,2,240,34
120,30,1,Needle,Model,218,17,88,71
120,30,1,Needle,Model,146,0,207,89
120,30,1,Needle,Model,95,0,180,182
120,30,1,Needle,Model,156,32,130,29
120,30,1,Needle,SVM,60,80,162,19
120,30,1,Needle,SVM,202,1,104,87
120,30,1,Needle,SVM,146,158,49,89
120,30,1,Needle,SVM,95,81,99,182
120,30,1,Needle,SVM,182,59,103,3
120,60,1,Needle,Model,27,2,119,13
120,60,1,Needle,Model,100,0,53,45
120,60,1,Needle,Model,73,24,80,45
120,60,1,Needle,Model,56,0,90,83
120,60,1,Needle,Model,89,28,54,4
120,60,1,Needle,SVM,27,2,119,13
120,60,1,Needle,SVM,100,0,53,45
120,60,1,Needle,SVM,94,59,45,24
120,60,1,Needle,SVM,70,31,59,69
120,60,1,Needle,SVM,93,73,9,0
150,30,1,Needle,Model,9,0,240,69
150,30,1,Needle,Model,249,35,69,37
150,30,1,Needle,Model,145,0,205,88
150,30,1,Needle,Model,94,0,178,180
150,30,1,Needle,Model,127,14,146,56
150,30,1,Needle,SVM,40,26,214,38
150,30,1,Needle,SVM,192,0,104,94
150,30,1,Needle,SVM,148,144,61,85
150,30,1,Needle,SVM,127,22,156,147
150,30,1,Needle,SVM,160,49,111,23
150,60,1,Needle,Model,18,14,107,21
150,60,1,Needle,Model,144,52,0,0
150,60,1,Needle,Model,73,0,103,44
150,60,1,Needle,Model,76,17,73,62
150,60,1,Needle,Model,68,8,72,24
150,60,1,Needle,SVM,29,74,47,10
150,60,1,Needle,SVM,102,0,52,42
150,60,1,Needle,SVM,73,10,93,44
150,60,1,Needle,SVM,76,26,64,62
