window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,1,Knot,Model,169,13,74,28
120,30,1,Knot,Model,70,0,75,122
120,30,1,Knot,Model,226,56,25,5
120,30,1,Knot,Model,242,19,53,6
120,30,1,Knot,Model,194,75,0,5
120,30,1,Knot,SVM,123,3,84,74
120,30,1,Knot,SVM,70,32,43,122
120,30,1,Knot,SVM,206,52,29,25
120,30,1,Knot,SVM,248,24,48,0
120,30,1,Knot,SVM,126,61,14,73
120,60,1,Knot,Model,94,18,26,5
120,60,1,Knot,Model,65,28,10,32
120,60,1,Knot,Model,114,28,13,3
120,60,1,Knot,Model,124,14,23,1
120,60,1,Knot,Model,100,38,0,0
120,60,1,Knot,SVM,68,0,44,31
120,60,1,Knot,SVM,36,12,26,61
120,60,1,Knot,SVM,95,27,14,22
120,60,1,Knot,SVM,125,20,17,0
120,60,1,Knot,SVM,55,17,21,45
150,30,1,Knot,Model,194,45,40,0
150,30,1,Knot,Model,168,73,0,21
150,30,1,Knot,Model,199,44,35,28
150,30,1,Knot,Model,245,26,44,0
150,30,1,Knot,Model,175,73,0,21
150,30,1,Knot,SVM,121,0,85,73
150,30,1,Knot,SVM,69,30,43,120
150,30,1,Knot,SVM,169,40,39,58
150,30,1,Knot,SVM,245,27,43,0
150,30,1,Knot,SVM,106,41,32,90
150,60,1,Knot,Model,74,5,38,24
150,60,1,Knot,Model,72,0,0,1
150,60,1,Knot,Model,28,114,0,0
150,60,1,Knot,Model,37,117,6,3
150,60,1,Knot,Model,10,99,0,25
150,60,1,Knot,SVM,63,0,43,35
150,60,1,Knot,SVM,48,12,25,47
150,60,1,Knot,SVM,62,22,18,52
150,60,1,Knot,SVM,123,14,21,0
150,60,1,Knot,SVM,60,18,19,39
180,30,1,Knot,Model,146,5,78,45
180,30,1,Knot,Model,186,71,0,0
180,30,1,Knot,Model,222,60,17,1
180,30,1,Knot,Model,242,28,40,0
180,30,1,Knot,Model,189,71,0,4
180,30,1,Knot,SVM,119,0,83,72
180,30,1,Knot,SVM,68,21,50,118
180,30,1,Knot,SVM,155,48,29,68
180,30,1,Knot,SVM,242,39,29,0
180,30,1,Knot,SVM,103,38,33,90
180,60,1,Knot,Model,71,5,37,25
180,60,1,Knot,Model,34,0,36,60
180,60,1,Knot,Model,113,31,8,0
180,60,1,Knot,Model,117,13,22,5
180,60,1,Knot,Model,97,36,0,0
180,60,1,Knot,SVM,60,0,42,36
180,60,1,Knot,SVM,36,10,26,58
180,60,1,Knot,SVM,100,21,18,13
180,60,1,Knot,SVM,120,20,15,2
180,60,1,Knot,SVM,36,34,2,61
90,30,1,Knot,Model,200,53,36,0
90,30,1,Knot,Model,71,0,0,0
90,30,1,Knot,Model,1,235,0,6
90,30,1,Knot,Model,59,251,0,24
90,30,1,Knot,Model,24,170,32,50
90,30,1,Knot,SVM,125,6,83,75
90,30,1,Knot,SVM,71,25,52,124
90,30,1,Knot,SVM,190,37,46,45
90,30,1,Knot,SVM,251,26,48,0
90,30,1,Knot,SVM,112,34,43,90
90,60,1,Knot,Model,90,17,28,11
90,60,1,Knot,Model,92,35,4,6
90,60,1,Knot,Model,103,21,21,15
90,60,1,Knot,Model,126,11,26,0
90,60,1,Knot,Model,102,39,0,0
90,60,1,Knot,SVM,46,11,34,55
90,60,1,Knot,SVM,68,22,17,30
90,60,1,Knot,SVM,79,16,26,39
90,60,1,Knot,SVM,124,11,26,2
90,60,1,Knot,SVM,41,21,18,61
120,30,1,Needle,Model,28,0,242,51
120,30,1,Needle,Model,249,14,91,40
120,30,1,Needle,Model,146,0,207,89
120,30,1,Needle,Model,95,0,180,182
120,30,1,Needle,Model,132,22,140,53
120,30,1,Needle,SVM,58,140,102,21
120,30,1,Needle,SVM,229,3,102,60
120,30,1,Needle,SVM,146,62,145,89
120,30,1,Needle,SVM,159,111,69,118
120,30,1,Needle,SVM,185,156,6,0
120,60,1,Needle,Model,14,0,121,26
120,60,1,Needle,Model,145,53,0,0
120,60,1,Needle,Model,73,0,104,45
120,60,1,Needle,Model,70,26,64,69
120,60,1,Needle,Model,73,16,66,20
120,60,1,Needle,SVM,26,45,76,14
120,60,1,Needle,SVM,77,53,0,68
120,60,1,Needle,SVM,78,51,53,40
120,60,1,Needle,SVM,82,62,28,57
120,60,1,Needle,SVM,93,79,3,0
150,30,1,Needle,Model,46,0,240,32
150,30,1,Needle,Model,217,1,103,69
150,30,1,Needle,Model,145,0,205,88
150,30,1,Needle,Model,94,0,178,180
150,30,1,Needle,Model,132,25,135,51
150,30,1,Needle,SVM,57,136,104,21
150,30,1,Needle,SVM,219,53,51,67
150,30,1,Needle,SVM,166,71,134,67
150,30,1,Needle,SVM,151,152,26,123
150,30,1,Needle,SVM,183,156,4,0
150,60,1,Needle,Model,0,0,121,39
150,60,1,Needle,Model,105,0,52,39
150,60,1,Needle,Model,73,0,103,44
150,60,1,Needle,Model,61,0,90,77
150,60,1,Needle,Model,78,12,68,14
150,60,1,Needle,SVM,19,71,50,20
150,60,1,Needle,SVM,118,10,42,26
150,60,1,Needle,SVM,73,31,72,44
150,60,1,Needle,SVM,79,19,71,59
150,60,1,Needle,SVM,92,73,7,0
180,30,1,Needle,Model,26,0,238,51
180,30,1,Needle,Model,233,0,103,50
180,30,1,Needle,Model,144,0,203,87
180,30,1,Needle,Model,127,25,151,144
180,30,1,Needle,Model,173,42,116,8
180,30,1,Needle,SVM,56,140,98,21
180,30,1,Needle,SVM,210,0,103,73
180,30,1,Needle,SVM,147,70,133,84
180,30,1,Needle,SVM,149,143,33,122
180,30,1,Needle,SVM,181,145,13,0
180,60,1,Needle,Model,18,3,116,21
180,60,1,Needle,Model,142,52,0,0
180,60,1,Needle,Model,72,0,102,44
180,60,1,Needle,Model,47,0,88,89
180,60,1,Needle,Model,78,17,63,13
180,60,1,Needle,SVM,28,72,47,11
180,60,1,Needle,SVM,94,0,52,48
180,60,1,Needle,SVM,72,31,71,44
180,60,1,Needle,SVM,73,48,40,63
180,60,1,Needle,SVM,91,63,17,0
90,30,1,Needle,Model,38,4,240,42
90,30,1,Needle,Model,225,0,106,67
90,30,1,Needle,Model,147,0,209,90
90,30,1,Needle,Model,96,4,178,184
90,30,1,Needle,Model,168,65,99,19
90,30,1,Needle,SVM,54,30,214,26
90,30,1,Needle,SVM,192,91,15,100
90,30,1,Needle,SVM,161,101,108,76
90,30,1,Needle,SVM,165,137,45,115
90,30,1,Needle,SVM,187,146,18,0
90,60,1,Needle,Model,17,12,111,23
90,60,1,Needle,Model,115,0,0,0
90,60,1,Needle,Model,0,74,45,3
90,60,1,Needle,Model,0,61,80,105
90,60,1,Needle,Model,3,82,12,89
90,60,1,Needle,SVM,26,67,56,14
90,60,1,Needle,SVM,107,0,53,40
90,60,1,Needle,SVM,86,53,52,33
90,60,1,Needle,SVM,81,44,48,60
90,60,1,Needle,SVM,94,61,21,0
120,30,1,Suture,Model,777,95,107,0
120,30,1,Suture,Model,360,89,74,5
120,30,1,Suture,Model,526,154,0,0
120,30,1,Suture,Model,442,145,33,0
120,30,1,Suture,Model,397,134,1,0
120,30,1,Suture,SVM,619,46,156,158
120,30,1,Suture,SVM,360,111,52,5
120,30,1,Suture,SVM,440,109,45,86
120,30,1,Suture,SVM,125,90,88,317
120,30,1,Suture,SVM,165,82,53,232
120,60,1,Suture,Model,357,43,58,32
120,60,1,Suture,Model,177,39,43,6
120,60,1,Suture,Model,264,74,4,0
120,60,1,Suture,Model,222,89,0,0
120,60,1,Suture,Model,170,63,5,29
120,60,1,Suture,SVM,244,34,67,145
120,60,1,Suture,SVM,174,45,37,9
120,60,1,Suture,SVM,199,71,7,65
120,60,1,Suture,SVM,105,88,1,117
120,60,1,Suture,SVM,80,26,42,119
150,30,1,Suture,Model,755,90,110,18
150,30,1,Suture,Model,298,67,94,64
150,30,1,Suture,Model,448,152,0,74
150,30,1,Suture,Model,438,176,0,0
150,30,1,Suture,Model,393,112,21,0
150,30,1,Suture,SVM,594,71,129,179
150,30,1,Suture,SVM,288,75,86,74
150,30,1,Suture,SVM,371,132,20,151
150,30,1,Suture,SVM,178,126,50,260
150,30,1,Suture,SVM,106,45,88,287
150,60,1,Suture,Model,335,18,83,53
150,60,1,Suture,Model,176,42,39,6
150,60,1,Suture,Model,230,76,0,32
150,60,1,Suture,Model,213,89,0,7
150,60,1,Suture,Model,192,67,0,6
150,60,1,Suture,SVM,386,24,77,2
150,60,1,Suture,SVM,170,59,22,12
150,60,1,Suture,SVM,205,44,32,57
150,60,1,Suture,SVM,117,87,2,103
