window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,3,Knot,SVM,132,5,82,65
120,30,3,Knot,SVM,142,31,44,50
120,30,3,Knot,SVM,150,57,24,81
120,30,3,Knot,SVM,187,35,37,61
120,30,3,Knot,SVM,151,50,25,48
120,60,3,Knot,SVM,60,13,31,39
120,60,3,Knot,SVM,63,16,22,34
120,60,3,Knot,SVM,79,25,16,38
120,60,3,Knot,SVM,101,27,10,24
120,60,3,Knot,SVM,84,25,13,16
150,30,3,Knot,SVM,148,7,78,46
150,30,3,Knot,SVM,155,33,40,34
150,30,3,Knot,SVM,179,55,24,48
150,30,3,Knot,SVM,201,31,39,44
150,30,3,Knot,SVM,184,48,25,12
150,60,3,Knot,SVM,66,12,31,32
150,60,3,Knot,SVM,77,16,21,18
150,60,3,Knot,SVM,78,28,12,36
150,60,3,Knot,SVM,99,18,17,24
150,60,3,Knot,SVM,90,20,17,9
180,30,3,Knot,SVM,156,7,76,35
180,30,3,Knot,SVM,151,25,46,35
180,30,3,Knot,SVM,188,48,29,35
180,30,3,Knot,SVM,223,40,28,19
180,30,3,Knot,SVM,179,43,28,14
180,60,3,Knot,SVM,77,7,35,19
180,60,3,Knot,SVM,76,14,22,18
180,60,3,Knot,SVM,87,24,15,26
180,60,3,Knot,SVM,102,20,15,20
180,60,3,Knot,SVM,89,22,14,8
90,30,3,Knot,SVM,122,15,74,78
90,30,3,Knot,SVM,111,41,36,84
90,30,3,Knot,SVM,123,55,28,112
90,30,3,Knot,SVM,168,41,33,83
90,30,3,Knot,SVM,172,46,31,30
90,60,3,Knot,SVM,59,14,31,42
90,60,3,Knot,SVM,46,21,18,52
90,60,3,Knot,SVM,92,25,17,26
90,60,3,Knot,SVM,82,20,17,44
90,60,3,Knot,SVM,80,25,14,22
120,30,3,Needle,SVM,75,143,99,4
120,30,3,Needle,SVM,167,56,49,122
120,30,3,Needle,SVM,120,126,81,115
120,30,3,Needle,SVM,144,90,90,133
120,30,3,Needle,SVM,168,131,31,17
120,60,3,Needle,SVM,37,79,42,3
120,60,3,Needle,SVM,72,43,10,73
120,60,3,Needle,SVM,82,63,41,36
120,60,3,Needle,SVM,54,27,63,85
120,60,3,Needle,SVM,75,67,15,18
150,30,3,Needle,SVM,72,138,102,6
150,30,3,Needle,SVM,203,90,14,83
150,30,3,Needle,SVM,161,115,90,72
150,30,3,Needle,SVM,127,137,41,147
150,30,3,Needle,SVM,163,131,29,20
150,60,3,Needle,SVM,35,88,33,4
150,60,3,Needle,SVM,111,51,1,33
150,60,3,Needle,SVM,73,59,44,44
150,60,3,Needle,SVM,63,68,22,75
150,60,3,Needle,SVM,79,65,15,13
180,30,3,Needle,SVM,66,165,73,11
180,30,3,Needle,SVM,204,96,7,79
180,30,3,Needle,SVM,156,114,89,75
180,30,3,Needle,SVM,134,149,27,137
180,30,3,Needle,SVM,157,140,18,24
180,60,3,Needle,SVM,28,71,48,11
180,60,3,Needle,SVM,95,49,3,47
180,60,3,Needle,SVM,78,72,30,38
180,60,3,Needle,SVM,66,58,30,70
180,60,3,Needle,SVM,74,71,9,17
90,30,3,Needle,SVM,70,150,94,10
90,30,3,Needle,SVM,181,101,5,111
90,30,3,Needle,SVM,158,190,19,79
90,30,3,Needle,SVM,138,99,83,142
90,30,3,Needle,SVM,168,134,30,19
90,60,3,Needle,SVM,39,72,51,1
90,60,3,Needle,SVM,97,51,2,50
90,60,3,Needle,SVM,81,92,13,38
90,60,3,Needle,SVM,65,4,88,76
90,60,3,Needle,SVM,74,55,27,20
120,30,3,Suture,SVM,411,113,89,366
120,30,3,Suture,SVM,279,141,22,86
120,30,3,Suture,SVM,339,112,42,187
120,30,3,Suture,SVM,344,85,93,98
120,30,3,Suture,SVM,116,123,12,281
120,60,3,Suture,SVM,221,52,49,168
120,60,3,Suture,SVM,128,74,8,55
120,60,3,Suture,SVM,177,52,26,87
120,60,3,Suture,SVM,197,48,41,25
120,60,3,Suture,SVM,48,63,5,151
150,30,3,Suture,SVM,516,146,54,257
150,30,3,Suture,SVM,275,129,32,87
150,30,3,Suture,SVM,341,112,40,181
150,30,3,Suture,SVM,363,87,89,75
150,30,3,Suture,SVM,133,116,17,260
150,60,3,Suture,SVM,251,63,38,137
150,60,3,Suture,SVM,141,74,7,41
150,60,3,Suture,SVM,156,46,30,106
