window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,3,Knot,SVM,127,15,72,70
120,30,3,Knot,SVM,122,41,34,70
120,30,3,Knot,SVM,154,56,25,77
120,30,3,Knot,SVM,196,38,34,52
120,30,3,Knot,SVM,141,44,31,58
120,60,3,Knot,SVM,59,29,15,40
120,60,3,Knot,SVM,56,22,16,41
120,60,3,Knot,SVM,70,25,16,47
120,60,3,Knot,SVM,99,19,18,26
120,60,3,Knot,SVM,59,14,24,41
150,30,3,Knot,SVM,143,10,75,51
150,30,3,Knot,SVM,143,30,43,46
150,30,3,Knot,SVM,184,46,33,43
150,30,3,Knot,SVM,171,44,26,74
150,30,3,Knot,SVM,144,49,24,52
150,60,3,Knot,SVM,58,12,31,40
150,60,3,Knot,SVM,70,16,21,25
150,60,3,Knot,SVM,78,22,18,36
150,60,3,Knot,SVM,76,19,16,47
150,60,3,Knot,SVM,71,24,13,28
180,30,3,Knot,SVM,138,6,77,53
180,30,3,Knot,SVM,164,34,37,22
180,30,3,Knot,SVM,192,38,39,31
180,30,3,Knot,SVM,189,32,36,53
180,30,3,Knot,SVM,146,51,20,47
180,60,3,Knot,SVM,64,15,27,32
180,60,3,Knot,SVM,72,17,19,22
180,60,3,Knot,SVM,84,22,17,29
180,60,3,Knot,SVM,90,19,16,32
180,60,3,Knot,SVM,78,23,13,19
90,30,3,Knot,SVM,103,15,3,29
90,30,3,Knot,SVM,42,97,14,2
90,30,3,Knot,SVM,17,34,12,7
90,30,3,Knot,SVM,161,80,3,35
90,30,3,Knot,SVM,56,134,85,10
90,30,3,Knot,SVM,47,52,7,4
90,30,3,Knot,SVM,136,21,15,27
90,60,3,Knot,SVM,54,26,19,47
90,60,3,Knot,SVM,45,22,17,53
90,60,3,Knot,SVM,92,25,17,26
90,60,3,Knot,SVM,91,27,10,35
90,60,3,Knot,SVM,72,17,22,30
120,30,3,Needle,SVM,67,181,61,12
120,30,3,Needle,SVM,181,96,9,108
120,30,3,Needle,SVM,138,167,40,97
120,30,3,Needle,SVM,144,57,123,133
120,30,3,Needle,SVM,172,121,41,13
120,60,3,Needle,SVM,32,61,60,8
120,60,3,Needle,SVM,98,52,1,47
120,60,3,Needle,SVM,67,87,17,51
120,60,3,Needle,SVM,64,63,27,75
120,60,3,Needle,SVM,87,65,17,6
150,30,3,Needle,SVM,73,145,95,5
150,30,3,Needle,SVM,138,37,67,148
150,30,3,Needle,SVM,153,166,39,80
150,30,3,Needle,SVM,141,41,137,133
150,30,3,Needle,SVM,167,138,22,16
150,60,3,Needle,SVM,37,48,73,2
150,60,3,Needle,SVM,73,43,9,71
150,60,3,Needle,SVM,78,75,28,39
150,60,3,Needle,SVM,63,14,76,75
150,60,3,Needle,SVM,80,70,10,12
180,30,3,Needle,SVM,72,190,48,5
180,30,3,Needle,SVM,183,76,27,100
180,30,3,Needle,SVM,139,140,63,92
180,30,3,Needle,SVM,134,103,73,137
180,30,3,Needle,SVM,159,126,32,22
180,60,3,Needle,SVM,36,85,34,3
180,60,3,Needle,SVM,68,41,11,74
180,60,3,Needle,SVM,58,72,30,58
180,60,3,Needle,SVM,61,55,33,75
180,60,3,Needle,SVM,83,67,13,8
90,30,3,Needle,SVM,74,153,91,6
90,30,3,Needle,SVM,184,82,24,108
90,30,3,Needle,SVM,169,147,62,68
90,30,3,Needle,SVM,132,38,144,148
90,30,3,Needle,SVM,166,131,33,21
90,60,3,Needle,SVM,33,96,27,7
90,60,3,Needle,SVM,101,43,10,46
90,60,3,Needle,SVM,60,80,25,59
90,60,3,Needle,SVM,68,17,75,73
90,60,3,Needle,SVM,80,74,8,14
120,30,3,Suture,SVM,442,166,36,335
120,30,3,Suture,SVM,281,144,19,84
120,30,3,Suture,SVM,390,113,41,136
120,30,3,Suture,SVM,289,84,94,153
120,30,3,Suture,SVM,192,110,25,205
120,60,3,Suture,SVM,225,78,23,164
120,60,3,Suture,SVM,137,75,7,46
120,60,3,Suture,SVM,220,49,29,44
120,60,3,Suture,SVM,133,62,27,89
120,60,3,Suture,SVM,92,55,13,107
150,30,3,Suture,SVM,471,175,25,302
150,30,3,Suture,SVM,328,149,12,34
150,30,3,Suture,SVM,416,111,41,106
150,30,3,Suture,SVM,301,86,90,137
150,30,3,Suture,SVM,147,110,23,246
150,60,3,Suture,SVM,260,83,18,128
150,60,3,Suture,SVM,157,66,15,25
150,60,3,Suture,SVM,216,45,31,46
150,60,3,Suture,SVM,148,41,48,72
150,60,3,Suture,SVM,73,58,9,125
180,30,3,Suture,SVM,453,166,32,316
180,30,3,Suture,SVM,322,148,11,37
180,30,3,Suture,SVM,412,107,43,106
180,30,3,Suture,SVM,278,86,88,156
180,30,3,Suture,SVM,141,118,13,248
180,60,3,Suture,SVM,202,82,17,183
180,60,3,Suture,SVM,165,65,15,15
180,60,3,Suture,SVM,208,42,34,52
180,60,3,Suture,SVM,131,49,38,87
180,60,3,Suture,SVM,55,57,9,140
90,30,3,Suture,SVM,473,31,28,106
90,30,3,Suture,SVM,148,259,62,33
90,30,3,Suture,SVM,48,124,27,12
90,30,3,Suture,SVM,351,31,17,41
90,30,3,Suture,SVM,45,245,38,54
90,30,3,Suture,SVM,35,71,34,24
90,30,3,Suture,SVM,103,25,17,29
90,60,3,Suture,SVM,229,81,22,163
90,60,3,Suture,SVM,141,73,10,44
90,60,3,Suture,SVM,188,45,33,78
90,60,3,Suture,SVM,131,50,41,93
90,60,3,Suture,SVM,57,64,5,145
