window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,1,Knot,Model,197,76,11,0
120,30,1,Knot,Model,192,75,0,0
120,30,1,Knot,Model,231,81,0,0
120,30,1,Knot,Model,248,23,49,0
120,30,1,Knot,Model,199,75,0,0
120,30,1,Knot,SVM,174,37,50,23
120,30,1,Knot,SVM,192,75,0,0
120,30,1,Knot,SVM,231,81,0,0
120,30,1,Knot,SVM,248,19,53,0
120,30,1,Knot,SVM,199,75,0,0
120,60,1,Knot,Model,99,44,0,0
120,60,1,Knot,Model,97,38,0,0
120,60,1,Knot,Model,104,13,28,13
120,60,1,Knot,Model,122,27,10,3
120,60,1,Knot,Model,96,10,28,4
120,60,1,Knot,SVM,99,44,0,0
120,60,1,Knot,SVM,81,16,22,16
120,60,1,Knot,SVM,103,11,30,14
120,60,1,Knot,SVM,123,27,10,2
120,60,1,Knot,SVM,100,35,3,0
150,30,1,Knot,Model,194,85,0,0
150,30,1,Knot,Model,174,42,31,15
150,30,1,Knot,Model,227,79,0,0
150,30,1,Knot,Model,245,70,0,0
150,30,1,Knot,Model,187,35,38,9
150,30,1,Knot,SVM,194,85,0,0
150,30,1,Knot,SVM,174,42,31,15
150,30,1,Knot,SVM,227,79,0,0
150,30,1,Knot,SVM,234,67,3,11
150,30,1,Knot,SVM,180,24,49,16
150,60,1,Knot,Model,90,33,10,8
150,60,1,Knot,Model,95,37,0,0
150,60,1,Knot,Model,114,40,0,0
150,60,1,Knot,Model,123,26,9,0
150,60,1,Knot,Model,99,28,9,0
150,60,1,Knot,SVM,85,30,13,13
150,60,1,Knot,SVM,76,26,11,19
150,60,1,Knot,SVM,114,40,0,0
150,60,1,Knot,SVM,122,23,12,1
150,60,1,Knot,SVM,95,25,12,4
180,30,1,Knot,Model,191,83,0,0
180,30,1,Knot,Model,186,71,0,0
180,30,1,Knot,Model,223,37,40,0
180,30,1,Knot,Model,242,62,6,0
180,30,1,Knot,Model,188,42,29,5
180,30,1,Knot,SVM,180,51,32,11
180,30,1,Knot,SVM,184,71,0,2
180,30,1,Knot,SVM,220,33,44,3
180,30,1,Knot,SVM,242,62,6,0
180,30,1,Knot,SVM,187,33,38,6
180,60,1,Knot,Model,96,42,0,0
180,60,1,Knot,Model,94,36,0,0
180,60,1,Knot,Model,106,27,12,7
180,60,1,Knot,Model,122,35,0,0
180,60,1,Knot,Model,97,36,0,0
180,60,1,Knot,SVM,62,34,8,34
180,60,1,Knot,SVM,94,36,0,0
180,60,1,Knot,SVM,104,27,12,9
180,60,1,Knot,SVM,122,35,0,0
180,60,1,Knot,SVM,85,14,22,12
90,30,1,Knot,Model,200,89,0,0
90,30,1,Knot,Model,195,75,2,0
90,30,1,Knot,Model,235,83,0,0
90,30,1,Knot,Model,251,74,0,0
90,30,1,Knot,Model,202,77,0,0
90,30,1,Knot,SVM,200,89,0,0
90,30,1,Knot,SVM,195,75,2,0
90,30,1,Knot,SVM,234,76,7,1
90,30,1,Knot,SVM,251,74,0,0
90,30,1,Knot,SVM,109,54,23,93
90,60,1,Knot,Model,101,26,19,0
90,60,1,Knot,Model,98,39,0,0
90,60,1,Knot,Model,118,42,0,0
90,60,1,Knot,Model,126,31,6,0
90,60,1,Knot,Model,98,29,10,4
90,60,1,Knot,SVM,101,23,22,0
90,60,1,Knot,SVM,97,39,0,1
90,60,1,Knot,SVM,90,35,7,28
90,60,1,Knot,SVM,126,29,8,0
90,60,1,Knot,SVM,100,35,4,2
120,30,1,Needle,Model,79,242,0,0
120,30,1,Needle,Model,289,105,0,0
120,30,1,Needle,Model,235,207,0,0
120,30,1,Needle,Model,277,161,19,0
120,30,1,Needle,Model,185,158,4,0
120,30,1,Needle,SVM,79,242,0,0
120,30,1,Needle,SVM,0,0,105,289
120,30,1,Needle,SVM,235,192,15,0
120,30,1,Needle,SVM,277,179,1,0
120,30,1,Needle,SVM,185,162,0,0
120,60,1,Needle,Model,40,121,0,0
120,60,1,Needle,Model,145,53,0,0
120,60,1,Needle,Model,118,104,0,0
120,60,1,Needle,Model,122,86,4,17
120,60,1,Needle,Model,93,82,0,0
120,60,1,Needle,SVM,40,111,10,0
120,60,1,Needle,SVM,0,0,53,145
120,60,1,Needle,SVM,118,104,0,0
120,60,1,Needle,SVM,7,1,89,132
120,60,1,Needle,SVM,6,3,79,87
150,30,1,Needle,Model,78,149,91,0
150,30,1,Needle,Model,259,104,0,27
150,30,1,Needle,Model,151,77,128,82
150,30,1,Needle,Model,274,178,0,0
150,30,1,Needle,Model,45,0,160,138
150,30,1,Needle,SVM,78,148,92,0
150,30,1,Needle,SVM,0,0,104,286
150,30,1,Needle,SVM,152,85,120,81
150,30,1,Needle,SVM,274,178,0,0
150,30,1,Needle,SVM,183,160,0,0
150,60,1,Needle,Model,39,65,56,0
150,60,1,Needle,Model,144,52,0,0
150,60,1,Needle,Model,117,103,0,0
150,60,1,Needle,Model,138,89,1,0
150,60,1,Needle,Model,27,1,79,65
150,60,1,Needle,SVM,39,42,79,0
150,60,1,Needle,SVM,0,0,52,144
150,60,1,Needle,SVM,11,80,23,106
150,60,1,Needle,SVM,103,73,17,35
150,60,1,Needle,SVM,92,80,0,0
180,30,1,Needle,Model,77,238,0,0
180,30,1,Needle,Model,283,103,0,0
180,30,1,Needle,Model,231,198,5,0
180,30,1,Needle,Model,258,158,18,13
180,30,1,Needle,Model,181,158,0,0
180,30,1,Needle,SVM,77,238,0,0
180,30,1,Needle,SVM,0,0,103,283
180,30,1,Needle,SVM,231,198,5,0
180,30,1,Needle,SVM,262,175,1,9
180,30,1,Needle,SVM,181,158,0,0
180,60,1,Needle,Model,39,119,0,0
180,60,1,Needle,Model,141,52,0,1
180,60,1,Needle,Model,116,61,41,0
180,60,1,Needle,Model,136,88,0,0
180,60,1,Needle,Model,91,77,3,0
180,60,1,Needle,SVM,27,88,31,12
180,60,1,Needle,SVM,0,0,52,142
180,60,1,Needle,SVM,116,61,41,0
180,60,1,Needle,SVM,60,30,58,76
180,60,1,Needle,SVM,91,80,0,0
90,30,1,Needle,Model,80,244,0,0
90,30,1,Needle,Model,292,106,0,0
90,30,1,Needle,Model,237,209,0,0
90,30,1,Needle,Model,280,181,1,0
90,30,1,Needle,Model,187,142,22,0
90,30,1,Needle,SVM,80,244,0,0
90,30,1,Needle,SVM,0,0,106,292
90,30,1,Needle,SVM,237,209,0,0
90,30,1,Needle,SVM,280,182,0,0
90,30,1,Needle,SVM,187,159,5,0
90,60,1,Needle,Model,40,123,0,0
90,60,1,Needle,Model,147,53,0,0
90,60,1,Needle,Model,119,105,0,0
90,60,1,Needle,Model,136,64,28,5
90,60,1,Needle,Model,94,78,4,0
90,60,1,Needle,SVM,40,123,0,0
90,60,1,Needle,SVM,0,0,53,147
90,60,1,Needle,SVM,119,105,0,0
90,60,1,Needle,SVM,52,51,41,89
90,60,1,Needle,SVM,94,82,0,0
120,30,1,Suture,Model,777,202,0,0
120,30,1,Suture,Model,365,163,0,0
120,30,1,Suture,Model,526,154,0,0
120,30,1,Suture,Model,442,140,38,0
120,30,1,Suture,Model,397,135,0,0
120,30,1,Suture,SVM,472,202,0,305
120,30,1,Suture,SVM,365,163,0,0
120,30,1,Suture,SVM,521,154,0,5
120,30,1,Suture,SVM,442,140,38,0
120,30,1,Suture,SVM,397,135,0,0
120,60,1,Suture,Model,389,101,0,0
120,60,1,Suture,Model,183,82,0,0
