window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,1,Knot,Model,194,35,52,3
120,30,1,Knot,Model,188,75,0,4
120,30,1,Knot,Model,204,38,43,27
120,30,1,Knot,Model,235,16,56,13
120,30,1,Knot,Model,199,75,0,0
120,30,1,Knot,SVM,154,11,76,43
120,30,1,Knot,SVM,70,23,52,122
120,30,1,Knot,SVM,121,31,50,110
120,30,1,Knot,SVM,230,30,42,18
120,30,1,Knot,SVM,87,4,71,112
120,60,1,Knot,Model,99,35,9,0
120,60,1,Knot,Model,94,38,0,3
120,60,1,Knot,Model,117,40,1,0
120,60,1,Knot,Model,125,19,18,0
120,60,1,Knot,Model,69,0,0,0
120,60,1,Knot,SVM,61,8,36,38
120,60,1,Knot,SVM,39,11,27,58
120,60,1,Knot,SVM,81,34,7,36
120,60,1,Knot,SVM,125,21,16,0
120,60,1,Knot,SVM,69,4,34,31
150,30,1,Knot,Model,194,35,50,0
150,30,1,Knot,Model,139,65,8,50
150,30,1,Knot,Model,218,62,17,9
150,30,1,Knot,Model,245,24,46,0
150,30,1,Knot,Model,119,9,64,77
150,30,1,Knot,SVM,148,5,80,46
150,30,1,Knot,SVM,69,40,33,120
150,30,1,Knot,SVM,140,50,29,87
150,30,1,Knot,SVM,245,28,42,0
150,30,1,Knot,SVM,130,22,51,66
150,60,1,Knot,Model,93,17,26,5
150,60,1,Knot,Model,79,34,3,16
150,60,1,Knot,Model,93,0,0,3
150,60,1,Knot,Model,18,123,0,0
150,60,1,Knot,Model,17,85,14,18
150,60,1,Knot,SVM,54,4,39,44
150,60,1,Knot,SVM,35,13,24,60
150,60,1,Knot,SVM,53,23,17,61
150,60,1,Knot,SVM,123,11,24,0
150,60,1,Knot,SVM,66,14,23,33
180,30,1,Knot,Model,191,46,37,0
180,30,1,Knot,Model,79,6,65,107
180,30,1,Knot,Model,223,60,17,0
180,30,1,Knot,Model,242,28,40,0
180,30,1,Knot,Model,187,42,29,6
180,30,1,Knot,SVM,154,14,69,37
180,30,1,Knot,SVM,68,31,40,118
180,30,1,Knot,SVM,180,45,32,43
180,30,1,Knot,SVM,242,27,41,0
180,30,1,Knot,SVM,118,3,68,75
180,60,1,Knot,Model,75,13,29,21
180,60,1,Knot,Model,39,4,32,55
180,60,1,Knot,Model,113,32,7,0
180,60,1,Knot,Model,122,13,22,0
180,60,1,Knot,Model,82,5,31,15
180,60,1,Knot,SVM,72,10,32,24
180,60,1,Knot,SVM,37,12,24,57
180,60,1,Knot,SVM,74,18,21,39
180,60,1,Knot,SVM,118,17,18,4
180,60,1,Knot,SVM,78,0,36,19
90,30,1,Knot,Model,149,0,89,51
90,30,1,Knot,Model,71,0,77,124
90,30,1,Knot,Model,235,83,0,0
90,30,1,Knot,Model,245,33,41,6
90,30,1,Knot,Model,183,46,31,19
90,30,1,Knot,SVM,125,5,84,75
90,30,1,Knot,SVM,71,20,57,124
90,30,1,Knot,SVM,102,55,28,133
90,30,1,Knot,SVM,248,37,37,3
90,30,1,Knot,SVM,142,18,59,60
90,60,1,Knot,Model,101,27,18,0
90,60,1,Knot,Model,36,0,39,62
90,60,1,Knot,Model,111,28,14,7
90,60,1,Knot,Model,126,12,25,0
90,60,1,Knot,Model,69,1,38,33
90,60,1,Knot,SVM,63,13,32,38
90,60,1,Knot,SVM,36,13,26,62
90,60,1,Knot,SVM,74,19,23,44
90,60,1,Knot,SVM,126,14,23,0
90,60,1,Knot,SVM,75,22,17,27
120,30,1,Needle,Model,49,0,242,30
120,30,1,Needle,Model,192,0,105,97
120,30,1,Needle,Model,146,0,207,89
120,30,1,Needle,Model,95,29,151,182
120,30,1,Needle,Model,152,4,158,33
120,30,1,Needle,SVM,57,127,115,22
120,30,1,Needle,SVM,216,105,0,73
120,30,1,Needle,SVM,146,63,144,89
120,30,1,Needle,SVM,106,40,140,171
120,30,1,Needle,SVM,183,146,16,2
120,60,1,Needle,Model,28,8,113,12
120,60,1,Needle,Model,98,0,53,47
120,60,1,Needle,Model,73,0,104,45
120,60,1,Needle,Model,57,3,87,82
120,60,1,Needle,Model,54,1,81,39
120,60,1,Needle,SVM,29,49,72,11
120,60,1,Needle,SVM,99,3,50,46
120,60,1,Needle,SVM,86,53,51,32
120,60,1,Needle,SVM,77,49,41,62
120,60,1,Needle,SVM,93,61,21,0
150,30,1,Needle,Model,33,7,233,45
150,30,1,Needle,Model,205,0,104,81
150,30,1,Needle,Model,145,0,205,88
150,30,1,Needle,Model,94,0,178,180
150,30,1,Needle,Model,151,14,146,32
150,30,1,Needle,SVM,33,8,232,45
150,30,1,Needle,SVM,161,0,104,125
150,30,1,Needle,SVM,145,150,55,88
150,30,1,Needle,SVM,117,95,83,157
150,30,1,Needle,SVM,183,148,12,0
150,60,1,Needle,Model,0,0,121,39
150,60,1,Needle,Model,98,0,52,46
150,60,1,Needle,Model,75,0,103,42
150,60,1,Needle,Model,90,3,87,48
150,60,1,Needle,Model,86,15,65,6
150,60,1,Needle,SVM,17,69,52,22
150,60,1,Needle,SVM,87,41,11,57
150,60,1,Needle,SVM,88,53,50,29
150,60,1,Needle,SVM,117,16,74,21
150,60,1,Needle,SVM,92,77,3,0
180,30,1,Needle,Model,53,31,207,24
180,30,1,Needle,Model,208,0,103,75
180,30,1,Needle,Model,144,0,203,87
180,30,1,Needle,Model,93,0,176,178
180,30,1,Needle,Model,156,65,93,25
180,30,1,Needle,SVM,56,132,106,21
180,30,1,Needle,SVM,235,16,87,48
180,30,1,Needle,SVM,162,123,80,69
180,30,1,Needle,SVM,149,141,35,122
180,30,1,Needle,SVM,181,157,1,0
180,60,1,Needle,Model,0,0,119,39
180,60,1,Needle,Model,114,0,52,28
180,60,1,Needle,Model,72,0,102,44
180,60,1,Needle,Model,60,0,88,76
180,60,1,Needle,Model,75,17,63,16
180,60,1,Needle,SVM,0,69,50,39
180,60,1,Needle,SVM,115,2,50,27
180,60,1,Needle,SVM,72,9,93,44
180,60,1,Needle,SVM,78,49,39,58
180,60,1,Needle,SVM,91,69,11,0
90,30,1,Needle,Model,36,5,239,44
90,30,1,Needle,Model,257,0,106,35
90,30,1,Needle,Model,147,0,209,90
90,30,1,Needle,Model,280,182,0,0
90,30,1,Needle,Model,170,58,106,17
90,30,1,Needle,SVM,43,7,237,37
90,30,1,Needle,SVM,203,0,106,89
90,30,1,Needle,SVM,161,8,201,76
90,30,1,Needle,SVM,276,146,36,4
90,30,1,Needle,SVM,187,65,99,0
90,60,1,Needle,Model,11,3,120,29
90,60,1,Needle,Model,145,12,41,2
90,60,1,Needle,Model,74,0,105,45
90,60,1,Needle,Model,48,0,92,93
90,60,1,Needle,Model,81,2,80,13
90,60,1,Needle,SVM,0,5,118,40
90,60,1,Needle,SVM,123,21,32,24
90,60,1,Needle,SVM,78,50,55,41
90,60,1,Needle,SVM,82,76,16,59
90,60,1,Needle,SVM,94,70,12,0
120,30,1,Suture,Model,776,141,61,1
120,30,1,Suture,Model,356,72,91,9
120,30,1,Suture,Model,451,154,0,75
120,30,1,Suture,Model,414,165,13,28
120,30,1,Suture,Model,397,135,0,0
120,30,1,Suture,SVM,600,76,126,177
120,30,1,Suture,SVM,348,63,100,17
120,30,1,Suture,SVM,334,140,14,192
120,30,1,Suture,SVM,288,163,15,154
120,30,1,Suture,SVM,181,82,53,216
120,60,1,Suture,Model,374,50,51,15
120,60,1,Suture,Model,177,29,53,6
120,60,1,Suture,Model,264,78,0,0
120,60,1,Suture,Model,175,40,49,47
120,60,1,Suture,Model,178,43,25,21
120,60,1,Suture,SVM,248,47,54,141
120,60,1,Suture,SVM,178,39,43,5
120,60,1,Suture,SVM,193,64,14,71
120,60,1,Suture,SVM,158,59,30,64
120,60,1,Suture,SVM,137,23,45,62
150,30,1,Suture,Model,773,187,13,0
150,30,1,Suture,Model,347,76,85,15
150,30,1,Suture,Model,388,37,115,134
150,30,1,Suture,Model,438,176,0,0
150,30,1,Suture,Model,393,133,0,0
150,30,1,Suture,SVM,638,177,23,135
150,30,1,Suture,SVM,306,60,101,56
150,30,1,Suture,SVM,410,92,60,112
150,30,1,Suture,SVM,158,162,14,280
150,30,1,Suture,SVM,165,64,69,228
150,60,1,Suture,Model,388,52,49,0
150,60,1,Suture,Model,173,32,49,9
150,60,1,Suture,Model,262,76,0,0
150,60,1,Suture,Model,220,89,0,0
150,60,1,Suture,Model,198,63,4,0
150,60,1,Suture,SVM,361,39,62,27
150,60,1,Suture,SVM,152,28,53,30
150,60,1,Suture,SVM,179,73,3,83
150,60,1,Suture,SVM,181,66,23,39
150,60,1,Suture,SVM,98,21,46,100
180,30,1,Suture,Model,728,68,130,41
180,30,1,Suture,Model,359,101,58,0
180,30,1,Suture,Model,444,150,0,74
180,30,1,Suture,Model,434,174,0,0
180,30,1,Suture,Model,389,131,0,0
180,30,1,Suture,SVM,724,68,130,45
180,30,1,Suture,SVM,220,62,97,139
180,30,1,Suture,SVM,308,140,10,210
180,30,1,Suture,SVM,301,107,67,133
180,30,1,Suture,SVM,106,62,69,283
180,60,1,Suture,Model,368,34,65,17
180,60,1,Suture,Model,179,34,46,1
180,60,1,Suture,Model,223,76,0,37
180,60,1,Suture,Model,213,41,46,5
180,60,1,Suture,Model,185,0,0,3
180,60,1,Suture,SVM,374,42,57,11
180,60,1,Suture,SVM,172,29,51,8
180,60,1,Suture,SVM,164,70,6,96
180,60,1,Suture,SVM,148,48,39,70
180,60,1,Suture,SVM,69,34,32,126
90,30,1,Suture,Model,768,179,25,13
90,30,1,Suture,Model,368,128,37,0
90,30,1,Suture,Model,456,156,0,74
90,30,1,Suture,Model,444,172,8,2
90,30,1,Suture,Model,290,134,3,111
90,30,1,Suture,SVM,388,78,126,393
90,30,1,Suture,SVM,309,128,37,59
90,30,1,Suture,SVM,357,139,17,173
90,30,1,Suture,SVM,220,110,70,226
90,30,1,Suture,SVM,105,54,83,296
90,60,1,Suture,Model,391,55,48,1
90,60,1,Suture,Model,178,23,60,7
90,60,1,Suture,Model,228,78,0,38
90,60,1,Suture,Model,224,91,0,0
90,60,1,Suture,Model,202,69,0,0
90,60,1,Suture,SVM,311,22,81,81
90,60,1,Suture,SVM,181,33,50,4
90,60,1,Suture,SVM,171,74,4,95
90,60,1,Suture,SVM,123,82,9,101
90,60,1,Suture,SVM,69,44,25,133
120,30,2,Knot,Model,197,61,26,0
120,30,2,Knot,Model,99,4,71,93
120,30,2,Knot,Model,231,80,1,0
120,30,2,Knot,Model,248,31,41,0
120,30,2,Knot,Model,187,37,38,12
120,30,2,Knot,SVM,100,5,82,97
120,30,2,Knot,SVM,70,12,63,122
120,30,2,Knot,SVM,123,61,20,108
120,30,2,Knot,SVM,248,30,42,0
120,30,2,Knot,SVM,140,44,31,59
120,60,2,Knot,Model,99,20,24,0
120,60,2,Knot,Model,73,21,17,24
120,60,2,Knot,Model,96,14,27,21
120,60,2,Knot,Model,125,14,23,0
120,60,2,Knot,Model,93,30,8,7
120,60,2,Knot,SVM,54,3,41,45
120,60,2,Knot,SVM,35,9,29,62
120,60,2,Knot,SVM,91,21,20,26
120,60,2,Knot,SVM,125,16,21,0
120,60,2,Knot,SVM,56,14,24,44
150,30,2,Knot,Model,166,37,48,28
150,30,2,Knot,Model,189,73,0,0
150,30,2,Knot,Model,220,72,7,7
150,30,2,Knot,Model,245,27,43,0
150,30,2,Knot,Model,163,48,25,33
150,30,2,Knot,SVM,117,7,78,77
150,30,2,Knot,SVM,69,21,52,120
150,30,2,Knot,SVM,147,55,24,80
150,30,2,Knot,SVM,245,34,36,0
150,30,2,Knot,SVM,113,14,59,83
150,60,2,Knot,Model,98,6,37,0
150,60,2,Knot,Model,63,19,18,32
150,60,2,Knot,Model,114,34,6,0
150,60,2,Knot,Model,123,20,15,0
150,60,2,Knot,Model,95,34,3,4
150,60,2,Knot,SVM,73,5,38,25
150,60,2,Knot,SVM,37,11,26,58
150,60,2,Knot,SVM,95,22,18,19
150,60,2,Knot,SVM,123,13,22,0
150,60,2,Knot,SVM,57,20,17,42
180,30,2,Knot,Model,122,0,83,69
180,30,2,Knot,Model,68,0,71,118
180,30,2,Knot,Model,223,77,0,0
180,30,2,Knot,Model,242,31,37,0
180,30,2,Knot,Model,190,54,17,3
180,30,2,Knot,SVM,119,13,70,72
180,30,2,Knot,SVM,68,30,41,118
180,30,2,Knot,SVM,124,56,21,99
180,30,2,Knot,SVM,242,27,41,0
180,30,2,Knot,SVM,117,40,31,76
180,60,2,Knot,Model,96,24,18,0
180,60,2,Knot,Model,65,29,7,29
180,60,2,Knot,Model,113,34,5,0
180,60,2,Knot,Model,120,15,20,2
180,60,2,Knot,Model,62,6,30,35
180,60,2,Knot,SVM,65,13,29,31
180,60,2,Knot,SVM,34,23,13,60
180,60,2,Knot,SVM,96,23,16,17
180,60,2,Knot,SVM,122,13,22,0
180,60,2,Knot,SVM,49,10,26,48
90,30,2,Knot,Model,125,5,84,75
90,30,2,Knot,Model,195,77,0,0
90,30,2,Knot,Model,235,83,0,0
90,30,2,Knot,Model,251,28,46,0
90,30,2,Knot,Model,187,37,40,15
90,30,2,Knot,SVM,125,8,81,75
90,30,2,Knot,SVM,71,13,64,124
90,30,2,Knot,SVM,143,43,40,92
90,30,2,Knot,SVM,251,28,46,0
90,30,2,Knot,SVM,135,26,51,67
90,60,2,Knot,Model,101,23,22,0
90,60,2,Knot,Model,92,27,12,6
90,60,2,Knot,Model,108,17,25,10
90,60,2,Knot,Model,126,14,23,0
90,60,2,Knot,Model,71,8,31,31
90,60,2,Knot,SVM,65,16,29,36
90,60,2,Knot,SVM,36,22,17,62
90,60,2,Knot,SVM,90,15,27,28
90,60,2,Knot,SVM,126,15,22,0
90,60,2,Knot,SVM,59,8,31,43
120,30,2,Needle,Model,20,5,237,59
120,30,2,Needle,Model,201,0,105,88
120,30,2,Needle,Model,146,0,207,89
120,30,2,Needle,Model,95,0,180,182
120,30,2,Needle,Model,182,53,109,3
120,30,2,Needle,SVM,36,4,238,43
120,30,2,Needle,SVM,210,83,22,79
120,30,2,Needle,SVM,148,62,145,87
120,30,2,Needle,SVM,159,79,101,118
120,30,2,Needle,SVM,185,145,17,0
120,60,2,Needle,Model,5,0,121,35
120,60,2,Needle,Model,110,0,53,35
120,60,2,Needle,Model,73,0,104,45
120,60,2,Needle,Model,71,0,90,68
120,60,2,Needle,Model,92,26,56,1
120,60,2,Needle,SVM,8,4,117,32
120,60,2,Needle,SVM,107,0,53,38
120,60,2,Needle,SVM,82,64,40,36
120,60,2,Needle,SVM,67,42,48,72
120,60,2,Needle,SVM,93,61,21,0
150,30,2,Needle,Model,19,0,240,59
150,30,2,Needle,Model,185,0,104,101
150,30,2,Needle,Model,145,0,205,88
150,30,2,Needle,Model,94,0,178,180
150,30,2,Needle,Model,130,0,160,53
150,30,2,Needle,SVM,56,142,98,22
150,30,2,Needle,SVM,205,47,57,81
150,30,2,Needle,SVM,164,110,95,69
150,30,2,Needle,SVM,96,105,73,178
150,30,2,Needle,SVM,183,131,29,0
150,60,2,Needle,Model,0,0,121,39
150,60,2,Needle,Model,140,33,19,4
150,60,2,Needle,Model,76,0,103,41
150,60,2,Needle,Model,60,0,90,78
150,60,2,Needle,Model,75,5,75,17
150,60,2,Needle,SVM,10,36,85,29
150,60,2,Needle,SVM,103,14,38,41
150,60,2,Needle,SVM,76,45,58,41
150,60,2,Needle,SVM,79,41,49,59
150,60,2,Needle,SVM,92,78,2,0
180,30,2,Needle,Model,42,3,235,35
180,30,2,Needle,Model,259,43,60,24
180,30,2,Needle,Model,144,0,203,87
180,30,2,Needle,Model,154,17,159,117
180,30,2,Needle,Model,133,11,147,48
180,30,2,Needle,SVM,56,130,108,21
180,30,2,Needle,SVM,241,46,57,42
180,30,2,Needle,SVM,171,54,149,60
180,30,2,Needle,SVM,155,98,78,116
180,30,2,Needle,SVM,181,143,15,0
180,60,2,Needle,Model,15,1,118,24
180,60,2,Needle,Model,142,52,0,0
180,60,2,Needle,Model,72,0,102,44
180,60,2,Needle,Model,75,23,65,61
180,60,2,Needle,Model,91,19,61,0
180,60,2,Needle,SVM,28,72,47,11
180,60,2,Needle,SVM,63,0,52,79
180,60,2,Needle,SVM,72,33,69,44
180,60,2,Needle,SVM,78,36,52,58
180,60,2,Needle,SVM,91,66,14,0
90,30,2,Needle,Model,22,0,244,58
90,30,2,Needle,Model,208,0,106,84
90,30,2,Needle,Model,147,0,209,90
90,30,2,Needle,Model,166,96,86,114
90,30,2,Needle,Model,163,52,112,24
90,30,2,Needle,SVM,51,128,116,29
90,30,2,Needle,SVM,243,106,0,49
90,30,2,Needle,SVM,159,93,116,78
90,30,2,Needle,SVM,165,79,103,115
90,30,2,Needle,SVM,187,121,43,0
90,60,2,Needle,Model,0,0,123,40
90,60,2,Needle,Model,146,20,33,1
90,60,2,Needle,Model,74,0,105,45
90,60,2,Needle,Model,48,1,91,93
90,60,2,Needle,Model,73,0,0,16
90,60,2,Needle,SVM,14,62,61,26
90,60,2,Needle,SVM,113,14,39,34
90,60,2,Needle,SVM,79,45,60,40
90,60,2,Needle,SVM,61,62,30,80
90,60,2,Needle,SVM,87,66,16,7
120,30,2,Suture,Model,731,88,114,46
120,30,2,Suture,Model,363,89,74,2
120,30,2,Suture,Model,525,149,5,1
120,30,2,Suture,Model,442,178,0,0
120,30,2,Suture,Model,337,125,10,60
120,30,2,Suture,SVM,743,53,149,34
120,30,2,Suture,SVM,320,97,66,45
120,30,2,Suture,SVM,504,137,17,22
120,30,2,Suture,SVM,188,92,86,254
120,30,2,Suture,SVM,171,55,80,226
120,60,2,Suture,Model,372,47,54,17
120,60,2,Suture,Model,176,46,36,7
120,60,2,Suture,Model,244,78,0,20
120,60,2,Suture,Model,217,82,7,5
120,60,2,Suture,Model,199,65,3,0
120,60,2,Suture,SVM,385,71,30,4
120,60,2,Suture,SVM,132,33,49,51
120,60,2,Suture,SVM,168,71,7,96
120,60,2,Suture,SVM,81,47,42,141
120,60,2,Suture,SVM,75,61,7,124
150,30,2,Suture,Model,751,142,58,22
150,30,2,Suture,Model,356,69,92,6
