window_size,step_size,run,skill,type,Novice_True_Positive,Novice_False_Positive,Expert_True_Positive,Expert_False_Positive
120,30,1,Knot,SVM,105,16,71,92
120,30,1,Knot,SVM,138,38,37,54
120,30,1,Knot,SVM,131,38,43,100
120,30,1,Knot,SVM,237,31,41,11
120,30,1,Knot,SVM,146,25,50,53
120,60,1,Knot,SVM,69,16,28,30
120,60,1,Knot,SVM,93,25,13,4
120,60,1,Knot,SVM,70,21,20,47
120,60,1,Knot,SVM,124,23,14,1
120,60,1,Knot,SVM,52,21,17,48
150,30,1,Knot,SVM,112,28,57,82
150,30,1,Knot,SVM,184,50,23,5
150,30,1,Knot,SVM,123,37,42,104
150,30,1,Knot,SVM,196,57,13,49
150,30,1,Knot,SVM,95,37,36,101
150,60,1,Knot,SVM,65,14,29,33
150,60,1,Knot,SVM,52,7,30,43
150,60,1,Knot,SVM,71,19,21,43
150,60,1,Knot,SVM,90,15,20,33
150,60,1,Knot,SVM,88,8,29,11
180,30,1,Knot,SVM,112,20,63,79
180,30,1,Knot,SVM,79,28,43,107
180,30,1,Knot,SVM,206,31,46,17
180,30,1,Knot,SVM,188,64,4,54
180,30,1,Knot,SVM,76,28,43,117
180,60,1,Knot,SVM,65,15,27,31
180,60,1,Knot,SVM,59,16,20,35
180,60,1,Knot,SVM,107,17,22,6
180,60,1,Knot,SVM,101,19,16,21
180,60,1,Knot,SVM,81,20,16,16
90,30,1,Knot,SVM,98,26,63,102
90,30,1,Knot,SVM,115,36,41,80
90,30,1,Knot,SVM,167,37,46,68
90,30,1,Knot,SVM,246,39,35,5
90,30,1,Knot,SVM,67,36,41,135
90,60,1,Knot,SVM,70,17,28,31
90,60,1,Knot,SVM,65,25,14,33
90,60,1,Knot,SVM,96,22,20,22
90,60,1,Knot,SVM,126,11,26,0
90,60,1,Knot,SVM,95,17,22,7
120,30,1,Needle,SVM,0,109,133,79
120,30,1,Needle,SVM,148,1,104,141
120,30,1,Needle,SVM,174,0,207,61
120,30,1,Needle,SVM,187,68,112,90
120,30,1,Needle,SVM,151,106,56,34
120,60,1,Needle,SVM,5,0,121,35
120,60,1,Needle,SVM,113,53,0,32
120,60,1,Needle,SVM,74,17,87,44
120,60,1,Needle,SVM,81,19,71,58
120,60,1,Needle,SVM,89,55,27,4
150,30,1,Needle,SVM,3,1,239,75
150,30,1,Needle,SVM,204,0,104,82
150,30,1,Needle,SVM,147,153,52,86
150,30,1,Needle,SVM,157,132,46,117
150,30,1,Needle,SVM,153,137,23,30
150,60,1,Needle,SVM,32,71,50,7
150,60,1,Needle,SVM,96,39,13,48
150,60,1,Needle,SVM,77,78,25,40
150,60,1,Needle,SVM,102,0,90,36
150,60,1,Needle,SVM,57,79,1,35
180,30,1,Needle,SVM,54,71,167,23
180,30,1,Needle,SVM,186,0,103,97
180,30,1,Needle,SVM,145,2,201,86
180,30,1,Needle,SVM,180,72,104,91
180,30,1,Needle,SVM,160,148,10,21
180,60,1,Needle,SVM,0,70,49,39
180,60,1,Needle,SVM,116,1,51,26
180,60,1,Needle,SVM,72,29,73,44
180,60,1,Needle,SVM,108,23,65,28
180,60,1,Needle,SVM,71,61,19,20
90,30,1,Needle,SVM,0,0,244,80
90,30,1,Needle,SVM,177,106,0,115
90,30,1,Needle,SVM,190,98,111,47
90,30,1,Needle,SVM,135,19,163,145
90,30,1,Needle,SVM,183,139,25,4
90,60,1,Needle,SVM,27,48,75,13
90,60,1,Needle,SVM,108,29,24,39
90,60,1,Needle,SVM,91,29,76,28
90,60,1,Needle,SVM,82,24,68,59
90,60,1,Needle,SVM,84,64,18,10
120,30,1,Suture,SVM,565,138,64,212
120,30,1,Suture,SVM,278,85,78,87
120,30,1,Suture,SVM,516,133,21,10
120,30,1,Suture,SVM,207,94,84,235
120,30,1,Suture,SVM,262,88,47,135
120,60,1,Suture,SVM,185,56,45,204
120,60,1,Suture,SVM,116,62,20,67
120,60,1,Suture,SVM,231,69,9,33
120,60,1,Suture,SVM,148,41,48,74
120,60,1,Suture,SVM,141,45,23,58
150,30,1,Suture,SVM,720,89,111,53
150,30,1,Suture,SVM,265,81,80,97
150,30,1,Suture,SVM,457,134,18,65
150,30,1,Suture,SVM,426,127,49,12
150,30,1,Suture,SVM,279,72,61,114
150,60,1,Suture,SVM,308,38,63,80
150,60,1,Suture,SVM,122,59,22,60
150,60,1,Suture,SVM,235,57,19,27
150,60,1,Suture,SVM,190,68,21,30
150,60,1,Suture,SVM,130,25,42,68
180,30,1,Suture,SVM,376,84,114,393
180,30,1,Suture,SVM,313,33,126,46
180,30,1,Suture,SVM,464,123,27,54
180,30,1,Suture,SVM,219,35,139,215
180,30,1,Suture,SVM,215,101,30,174
180,60,1,Suture,SVM,369,89,10,16
180,60,1,Suture,SVM,122,51,29,58
180,60,1,Suture,SVM,185,45,31,75
180,60,1,Suture,SVM,114,44,43,104
180,60,1,Suture,SVM,152,32,34,43
90,30,1,Suture,SVM,626,122,82,155
90,30,1,Suture,SVM,263,105,60,105
90,30,1,Suture,SVM,263,122,34,267
90,30,1,Suture,SVM,215,80,100,231
90,30,1,Suture,SVM,263,90,47,138
90,60,1,Suture,SVM,345,49,54,47
90,60,1,Suture,SVM,136,77,6,49
90,60,1,Suture,SVM,231,42,36,35
90,60,1,Suture,SVM,195,52,39,29
90,60,1,Suture,SVM,142,50,19,60
120,30,2,Knot,SVM,180,23,64,17
120,30,2,Knot,SVM,110,38,37,82
120,30,2,Knot,SVM,195,54,27,36
120,30,2,Knot,SVM,248,30,42,0
120,30,2,Knot,SVM,185,19,56,14
120,60,2,Knot,SVM,78,12,32,21
120,60,2,Knot,SVM,75,31,7,22
120,60,2,Knot,SVM,74,15,26,43
120,60,2,Knot,SVM,97,13,24,28
120,60,2,Knot,SVM,63,2,36,37
150,30,2,Knot,SVM,121,37,48,73
150,30,2,Knot,SVM,157,36,37,32
150,30,2,Knot,SVM,186,49,30,41
150,30,2,Knot,SVM,243,34,36,2
150,30,2,Knot,SVM,107,45,28,89
150,60,2,Knot,SVM,55,21,22,43
150,60,2,Knot,SVM,66,13,24,29
150,60,2,Knot,SVM,72,19,21,42
150,60,2,Knot,SVM,120,19,16,3
150,60,2,Knot,SVM,96,25,12,3
180,30,2,Knot,SVM,174,12,71,17
180,30,2,Knot,SVM,172,31,40,14
180,30,2,Knot,SVM,130,48,29,93
180,30,2,Knot,SVM,242,28,40,0
180,30,2,Knot,SVM,94,28,43,99
180,60,2,Knot,SVM,83,17,25,13
180,60,2,Knot,SVM,57,28,8,37
180,60,2,Knot,SVM,58,23,16,55
180,60,2,Knot,SVM,117,26,9,5
180,60,2,Knot,SVM,77,5,31,20
90,30,2,Knot,SVM,137,24,65,63
90,30,2,Knot,SVM,153,49,28,42
90,30,2,Knot,SVM,190,61,22,45
90,30,2,Knot,SVM,197,47,27,54
90,30,2,Knot,SVM,147,35,42,55
90,60,2,Knot,SVM,62,12,33,39
90,60,2,Knot,SVM,64,14,25,34
90,60,2,Knot,SVM,96,24,18,22
90,60,2,Knot,SVM,120,25,12,6
90,60,2,Knot,SVM,70,17,22,32
120,30,2,Needle,SVM,2,51,191,77
120,30,2,Needle,SVM,152,0,105,137
120,30,2,Needle,SVM,202,103,104,33
120,30,2,Needle,SVM,182,59,121,95
120,30,2,Needle,SVM,171,151,11,14
120,60,2,Needle,SVM,13,18,103,27
120,60,2,Needle,SVM,117,45,8,28
120,60,2,Needle,SVM,106,34,70,12
120,60,2,Needle,SVM,116,13,77,23
120,60,2,Needle,SVM,84,28,54,9
150,30,2,Needle,SVM,0,69,171,78
150,30,2,Needle,SVM,172,0,104,114
150,30,2,Needle,SVM,224,203,2,9
150,30,2,Needle,SVM,147,99,79,127
150,30,2,Needle,SVM,152,111,49,31
150,60,2,Needle,SVM,1,8,113,38
150,60,2,Needle,SVM,82,0,52,62
150,60,2,Needle,SVM,114,53,50,3
150,60,2,Needle,SVM,66,9,81,72
150,60,2,Needle,SVM,63,46,34,29
180,30,2,Needle,SVM,2,0,238,75
180,30,2,Needle,SVM,209,100,3,74
180,30,2,Needle,SVM,198,172,31,33
180,30,2,Needle,SVM,204,60,116,67
180,30,2,Needle,SVM,127,145,13,54
180,60,2,Needle,SVM,1,64,55,38
180,60,2,Needle,SVM,118,51,1,24
180,60,2,Needle,SVM,79,2,100,37
180,60,2,Needle,SVM,55,72,16,81
180,60,2,Needle,SVM,79,40,40,12
90,30,2,Needle,SVM,21,139,105,59
90,30,2,Needle,SVM,256,0,106,36
90,30,2,Needle,SVM,147,32,177,90
90,30,2,Needle,SVM,143,131,51,137
90,30,2,Needle,SVM,186,114,50,1
90,60,2,Needle,SVM,3,34,89,37
90,60,2,Needle,SVM,109,0,53,38
90,60,2,Needle,SVM,74,19,86,45
90,60,2,Needle,SVM,78,64,28,63
90,60,2,Needle,SVM,86,46,36,8
120,30,2,Suture,SVM,516,70,132,261
120,30,2,Suture,SVM,213,30,133,152
120,30,2,Suture,SVM,474,98,56,52
120,30,2,Suture,SVM,300,168,10,142
120,30,2,Suture,SVM,286,100,35,111
120,60,2,Suture,SVM,359,76,25,30
120,60,2,Suture,SVM,152,44,38,31
120,60,2,Suture,SVM,216,54,24,48
120,60,2,Suture,SVM,113,43,46,109
120,60,2,Suture,SVM,139,45,23,60
150,30,2,Suture,SVM,527,88,112,246
150,30,2,Suture,SVM,256,90,71,106
150,30,2,Suture,SVM,321,48,104,201
150,30,2,Suture,SVM,435,123,53,3
150,30,2,Suture,SVM,255,58,75,138
150,60,2,Suture,SVM,306,48,53,82
150,60,2,Suture,SVM,118,11,70,64
150,60,2,Suture,SVM,172,44,32,90
150,60,2,Suture,SVM,139,50,39,81
150,60,2,Suture,SVM,138,38,29,60
180,30,2,Suture,SVM,538,133,65,231
180,30,2,Suture,SVM,306,151,8,53
180,30,2,Suture,SVM,291,56,94,227
180,30,2,Suture,SVM,411,61,113,23
180,30,2,Suture,SVM,271,65,66,118
180,60,2,Suture,SVM,293,8,91,92
180,60,2,Suture,SVM,138,52,28,42
180,60,2,Suture,SVM,190,63,13,70
180,60,2,Suture,SVM,152,51,36,66
180,60,2,Suture,SVM,79,26,40,116
90,30,2,Suture,SVM,573,114,90,208
90,30,2,Suture,SVM,306,64,101,62
90,30,2,Suture,SVM,396,108,48,134
90,30,2,Suture,SVM,228,145,35,218
90,30,2,Suture,SVM,300,88,49,101
90,60,2,Suture,SVM,374,63,40,18
90,60,2,Suture,SVM,152,7,76,33
90,60,2,Suture,SVM,231,6,72,35
90,60,2,Suture,SVM,140,36,55,84
90,60,2,Suture,SVM,144,32,37,58
120,30,3,Knot,SVM,163,52,35,34
120,30,3,Knot,SVM,175,25,50,17
120,30,3,Knot,SVM,176,45,36,55
120,30,3,Knot,SVM,191,49,23,57
120,30,3,Knot,SVM,58,38,37,141
120,60,3,Knot,SVM,61,14,30,38
120,60,3,Knot,SVM,66,26,12,31
120,60,3,Knot,SVM,82,17,24,35
120,60,3,Knot,SVM,125,21,16,0
120,60,3,Knot,SVM,91,15,23,9
150,30,3,Knot,SVM,144,23,62,50
150,30,3,Knot,SVM,167,18,55,22
150,30,3,Knot,SVM,193,47,32,34
150,30,3,Knot,SVM,240,40,30,5
150,30,3,Knot,SVM,177,32,41,19
150,60,3,Knot,SVM,49,17,26,49
150,60,3,Knot,SVM,67,13,24,28
