method,skill,run,Trial_1_Model,Trial_2_Model,Trial_3_Model,Trial_4_Model,Trial_5_Model,Trial_1_SVM,Trial_2_SVM,Trial_3_SVM,Trial_4_SVM,Trial_5_SVM,Acc_Full,Acc_Fea
ResNet,Knot,1,0.8150685,0.54744524,0.78125,0.9263804,0.75886524,0.65068495,0.45255473,0.60625,0.9141104,0.6524823,0.76580185,0.65521646
ResNet,Needle,1,0.80368096,0.93,0.79910713,0.6008584,0.91477275,0.72392637,0.775,0.59375,0.42060086,0.60227275,0.80968386,0.62311
ResNet,Suture,1,0.8868687,0.8880597,0.6627907,0.7111111,0.74538743,0.7919192,0.8619403,0.50872093,0.41904762,0.34686348,0.7788435,0.5856983
ResNet,Knot,2,0.84246576,0.7591241,0.83125,0.9141104,0.7234042,0.6438356,0.38686132,0.73125,0.90797544,0.63829786,0.8140709,0.66164404
ResNet,Needle,2,0.75460124,0.895,0.79910713,0.5965665,0.8693182,0.4601227,0.76,0.62053573,0.39055794,0.58522725,0.78291863,0.56328875
ResNet,Suture,2,0.84040403,0.8768657,0.6627907,0.7111111,0.75645757,0.7191919,0.8134328,0.5436047,0.6507937,0.34317344,0.7695258,0.6140393
ResNet,Knot,3,0.77397263,0.69343066,0.74375,0.8588957,0.822695,0.7328767,0.49635038,0.5375,0.80981594,0.82978725,0.7785488,0.68126607
ResNet,Needle,3,0.80981594,0.805,0.84821427,0.64377683,0.76704544,0.86503065,0.715,0.84821427,0.4806867,0.6193182,0.7747705,0.70565
ResNet,Suture,3,0.82828283,0.85820895,0.7732558,0.7111111,0.74538743,0.73333335,0.8134328,0.6656977,0.34285715,0.38376385,0.78324926,0.58781695
ResNet,Knot,4,0.86986303,0.5985401,0.875,0.9263804,0.73758864,0.74657536,0.47445256,0.55,0.9202454,0.7092199,0.80147445,0.68009865
ResNet,Needle,4,0.82822084,0.77,0.79910713,0.6738197,0.84090906,0.4417178,0.525,0.6875,0.36051503,0.71022725,0.7824114,0.544992
ResNet,Suture,4,0.86262625,0.8395522,0.7761628,0.7111111,0.75645757,0.88080806,0.73507464,0.5552326,0.47619048,0.36531365,0.789182,0.60252386
ResNet,Knot,5,0.8561644,0.54744524,0.7625,0.90797544,0.83687943,0.7876712,0.50364965,0.7,0.9202454,0.73049647,0.7821929,0.72841257
ResNet,Needle,5,0.8220859,0.855,0.79910713,0.6051502,0.875,0.4601227,0.49,0.45535713,0.48497853,0.60227275,0.79126865,0.4985462
ResNet,Suture,5,0.85858583,0.8544776,0.7732558,0.7111111,0.74538743,0.6787879,0.7798507,0.747093,0.2952381,0.4797048,0.78856355,0.5961349
CNN,Knot,1,0.8082192,0.7007299,0.775,0.9325153,0.7234042,0.5479452,0.620438,0.65625,0.9202454,0.41843972,0.78797376,0.63266367
CNN,Needle,1,0.78527606,0.825,0.79910713,0.64377683,0.78977275,0.5030675,0.8,0.6160714,0.55364805,0.65340906,0.7685866,0.6252392
CNN,Suture,1,0.85656565,0.7761194,0.7732558,0.7111111,0.73800737,0.6484848,0.82835823,0.52034885,0.384127,0.3099631,0.7710119,0.5382564
CNN,Knot,2,0.7671233,0.71532845,0.7375,0.9263804,0.73049647,0.739726,0.5109489,0.61875,0.9018405,0.41843972,0.7753657,0.637941
CNN,Needle,2,0.76073617,0.865,0.79910713,0.62660944,0.8238636,0.5030675,0.75,0.5535714,0.472103,0.5738636,0.7750633,0.5705211
CNN,Suture,2,0.7919192,0.8208955,0.7732558,0.7111111,0.5424354,0.64646465,0.8358209,0.57848835,0.1904762,0.36900368,0.7279234,0.5240508
CNN,Knot,3,0.77397263,0.54744524,0.7625,0.9018405,0.70212764,0.7123288,0.49635038,0.5875,0.88957053,0.63829786,0.7375772,0.6648095
CNN,Needle,3,0.75460124,0.765,0.79910713,0.60944206,0.82954544,0.35582823,0.745,0.62053573,0.44206008,0.5625,0.7515392,0.5451848
CNN,Suture,3,0.88080806,0.8134328,0.7732558,0.7111111,0.6900369,0.7252525,0.79850745,0.5290698,0.4031746,0.36531365,0.77372897,0.5642636
CNN,Knot,4,0.7876712,0.71532845,0.75,0.9263804,0.7234042,0.72602737,0.459854,0.51875,0.90797544,0.58156025,0.78055686,0.6388334
CNN,Needle,4,0.77300614,0.81,0.79910713,0.57081544,0.875,0.5030675,0.625,0.59821427,0.472103,0.54545456,0.7655857,0.54876786
CNN,Suture,4,0.83232325,0.8544776,0.7732558,0.5460318,0.74538743,0.67070705,0.8022388,0.63372093,0.41587302,0.33948338,0.75029516,0.5724046
CNN,Knot,5,0.82191783,0.5693431,0.76875,0.8957055,0.7234042,0.7808219,0.57664233,0.53125,0.87116563,0.4893617,0.75582415,0.64984834
CNN,Needle,5,0.8220859,0.77,0.79910713,0.64806867,0.8238636,0.49079755,0.65,0.6160714,0.59227467,0.5738636,0.7726251,0.58460146
CNN,Suture,5,0.81616163,0.82835823,0.7383721,0.7111111,0.74538743,0.67676765,0.8619403,0.53197676,0.44761905,0.5276753,0.7678781,0.6091958
CNN+LSTM,Knot,1,0.8287671,0.71532845,0.7375,0.9202454,0.71631205,0.6917808,0.42335767,0.71875,0.90797544,0.53900707,0.7836306,0.6561742
